epoch,loss,acc
0,1.4137941455473224,0.2644230769230769
1,1.4070309000467913,0.265625
2,1.402583079141182,0.2686298076923077
3,1.3934372678124576,0.27283653846153844
4,1.3776620849951653,0.2746394230769231
5,1.3779431698564202,0.2782451923076923
6,1.3465794762499246,0.28125
7,1.3309756381639704,0.2848557692307692
8,1.3097486926967472,0.28725961538461536
9,1.288194357627139,0.2932692307692308
10,1.2627889950606208,0.3004807692307692
11,1.2489304388390727,0.3058894230769231
12,1.2273372780819756,0.3137019230769231
13,1.1934202685986546,0.3233173076923077
14,1.181632064966405,0.33533653846153844
15,1.1636187607623776,0.35336538461538464
16,1.140983283136937,0.3659855769230769
17,1.126051589331264,0.3780048076923077
18,1.110413945369752,0.3936298076923077
19,1.0900473017679397,0.40444711538461536
20,1.0870524078133759,0.4152644230769231
21,1.068248893935403,0.4296875
22,1.063038474214468,0.44591346153846156
23,1.0609060575797176,0.453125
24,1.0570259559468311,0.46334134615384615
25,1.0508911696150378,0.4699519230769231
26,1.0419912313548223,0.4795673076923077
27,1.0350479988070709,0.48497596153846156
28,1.0380736330546454,0.4933894230769231
29,1.0357157328185802,0.5048076923076923
30,1.0329174061736637,0.5144230769230769
31,1.027092366284591,0.5234375
32,1.024533088107622,0.5342548076923077
33,1.0297901504946951,0.5444711538461539
34,1.026971900673647,0.5564903846153846
35,1.0255076244331105,0.5679086538461539
36,1.0190813732735355,0.5769230769230769
37,1.0281202624378651,0.5841346153846154
38,1.0259651176022917,0.5931490384615384
39,1.0245428332688244,0.6009615384615384
40,1.0267540680823173,0.6153846153846154
41,1.0264552186547435,0.6207932692307693
42,1.0304706553141283,0.6304086538461539
43,1.0340416298651403,0.640625
44,1.0338758985660543,0.6484375
45,1.0403281182588449,0.65625
46,1.0333473334469618,0.6634615384615384
47,1.0393135294763711,0.6712740384615384
48,1.0490321754397602,0.6778846153846154
49,1.0465012447741864,0.6868990384615384
50,1.0534141281407303,0.6893028846153846
51,1.0529770102748728,0.6929086538461539
52,1.0619380110220076,0.6983173076923077
53,1.058320215992991,0.703125
54,1.0596728516441623,0.7097355769230769
55,1.0723718761389933,0.7175480769230769
56,1.0776126135525554,0.7193509615384616
57,1.0731535681321671,0.7247596153846154
58,1.079878853673614,0.7283653846153846
59,1.0805765736867756,0.7313701923076923
60,1.0812490676628317,0.7337740384615384
61,1.0846489521765124,0.7373798076923077
62,1.086648645262084,0.7469951923076923
63,1.093431497634591,0.7487980769230769
64,1.0912706001031531,0.7512019230769231
65,1.1013585114027493,0.7542067307692307
66,1.1054567089407714,0.7542067307692307
67,1.098501307615713,0.7584134615384616
68,1.109543896603252,0.7590144230769231
69,1.1113532456739414,0.7614182692307693
70,1.1128780168780015,0.7644230769230769
71,1.1158350118523892,0.7698317307692307
72,1.1202813221333783,0.7710336538461539
73,1.1231660247109982,0.7716346153846154
74,1.1212321764227844,0.7716346153846154
75,1.1270730284414059,0.7758413461538461
76,1.1311456722855795,0.7770432692307693
77,1.1337654445155219,0.7794471153846154
78,1.1381156239811099,0.7818509615384616
79,1.1320477909213706,0.7842548076923077
80,1.1354513712377465,0.7848557692307693
81,1.1391210681649695,0.7872596153846154
82,1.1423613061539273,0.7872596153846154
83,1.144829785873972,0.7884615384615384
84,1.146368120338275,0.7896634615384616
85,1.1399761765915004,0.7902644230769231
86,1.1448226769851928,0.7908653846153846
87,1.1530279843833993,0.7920673076923077
88,1.154221774540156,0.7920673076923077
89,1.1456688919781195,0.7944711538461539
90,1.1501418376135855,0.7974759615384616
91,1.1601281255981772,0.7992788461538461
92,1.1553666811894976,0.7998798076923077
93,1.1584027925899252,0.7998798076923077
94,1.159798602513965,0.8028846153846154
95,1.1558866078909624,0.8034855769230769
96,1.16044966366079,0.8040865384615384
97,1.1581829660613645,0.8034855769230769
98,1.162816896110765,0.8040865384615384
99,1.1685873905761013,0.8046875
100,1.1660987989906,0.8070913461538461
101,1.1616264631981115,0.8106971153846154
102,1.1683324555134627,0.8112980769230769
103,1.1609884381622209,0.8118990384615384
104,1.1721594116919116,0.8118990384615384
105,1.1653907374678574,0.8112980769230769
106,1.172278978450443,0.8118990384615384
107,1.1741041359291366,0.8118990384615384
108,1.1644845713680316,0.8143028846153846
109,1.176460197514346,0.8155048076923077
110,1.168050116062551,0.8161057692307693
111,1.1634625107909278,0.8179086538461539
112,1.1738449657842116,0.8197115384615384
113,1.179943146674128,0.8227163461538461
114,1.1804720120518626,0.8233173076923077
115,1.1624738663299845,0.8245192307692307
116,1.1751333577491803,0.8245192307692307
117,1.1741840225215863,0.8257211538461539
118,1.1793173203164817,0.8251201923076923
119,1.17670257827245,0.8257211538461539
120,1.176279444745369,0.8269230769230769
121,1.176676868710364,0.8269230769230769
122,1.1757753050353552,0.8269230769230769
123,1.1750246325705658,0.828125
124,1.1749526722941435,0.8311298076923077
125,1.173217185462933,0.8305288461538461
126,1.1786125185523944,0.8311298076923077
127,1.1827921908298076,0.8311298076923077
128,1.1843464311489227,0.8299278846153846
129,1.180220437294356,0.8317307692307693
130,1.1736218772893605,0.8317307692307693
131,1.177404921048638,0.8317307692307693
132,1.1808373632027263,0.8323317307692307
133,1.179612890021467,0.8323317307692307
134,1.1826414879260125,0.8323317307692307
135,1.1836631609827928,0.8335336538461539
136,1.1819029950628321,0.8341346153846154
137,1.1769683297778306,0.8341346153846154
138,1.1847235958996984,0.8347355769230769
139,1.184028494649731,0.8353365384615384
140,1.1899773984742708,0.8353365384615384
141,1.1850779513830525,0.8359375
142,1.1846799013150302,0.8347355769230769
143,1.179725408690185,0.8341346153846154
144,1.1772031836212684,0.8353365384615384
145,1.186293388916321,0.8353365384615384
146,1.1833142573006992,0.8353365384615384
147,1.189058189980036,0.8371394230769231
148,1.172942723155582,0.8377403846153846
149,1.1868642333750208,0.8377403846153846
150,1.1871998528751175,0.8383413461538461
151,1.1860302926470587,0.8389423076923077
152,1.191197801014526,0.8383413461538461
153,1.1850089599763263,0.8383413461538461
154,1.187034773594714,0.8389423076923077
155,1.185722621680505,0.8401442307692307
156,1.1888076353312675,0.8401442307692307
157,1.1869100366903873,0.8407451923076923
158,1.1880556466256709,0.8401442307692307
159,1.185232556037355,0.8413461538461539
160,1.182191507974576,0.8413461538461539
161,1.1866408674173066,0.8425480769230769
162,1.1850851180208297,0.8425480769230769
163,1.188732953842177,0.8431490384615384
164,1.1862600167159565,0.8431490384615384
165,1.194386877068533,0.8431490384615384
166,1.1946804038911267,0.8425480769230769
167,1.1883308183417953,0.84375
168,1.1801687337621987,0.8425480769230769
169,1.1833091980990558,0.8425480769230769
170,1.1876051968833397,0.8431490384615384
171,1.1875872298744226,0.8431490384615384
172,1.1767499157183985,0.84375
173,1.1916467104316422,0.8431490384615384
174,1.191593347651351,0.8443509615384616
175,1.1880517788339464,0.8431490384615384
176,1.1871503251464484,0.84375
177,1.190007633794009,0.8431490384615384
178,1.1902153085789726,0.8425480769230769
179,1.1875119359805502,0.8425480769230769
180,1.192203614815573,0.8431490384615384
181,1.1888127961344839,0.8449519230769231
182,1.1880791083806665,0.8425480769230769
183,1.1841367146350363,0.8431490384615384
184,1.1911121778479947,0.8431490384615384
185,1.1813357629848877,0.84375
186,1.1906844539948844,0.8449519230769231
187,1.1795720773401794,0.8449519230769231
188,1.1794832628689602,0.8443509615384616
189,1.1949333738374126,0.8455528846153846
190,1.188820696103785,0.8449519230769231
191,1.1851741701171594,0.8443509615384616
192,1.1878434714390849,0.84375
193,1.1879540170185923,0.8443509615384616
194,1.1931421416520105,0.8443509615384616
195,1.1889390404961753,0.8449519230769231
196,1.1930041355076018,0.84375
197,1.1915372270899396,0.8443509615384616
198,1.1857867053748594,0.8443509615384616
199,1.1915256859358887,0.8443509615384616
200,1.1886491886278703,0.8443509615384616
201,1.193355942751665,0.8449519230769231
202,1.1919309375509273,0.8443509615384616
203,1.187669423209305,0.8443509615384616
204,1.1874618015515734,0.8443509615384616
205,1.1891478996122926,0.8449519230769231
206,1.1900012419230876,0.8449519230769231
207,1.1946814076876175,0.8443509615384616
208,1.1896190600548797,0.8449519230769231
209,1.1890236011020208,0.8449519230769231
210,1.1810067655329135,0.8455528846153846
211,1.1786993619134571,0.8449519230769231
212,1.1834511823861098,0.8443509615384616
213,1.1876193547712772,0.8443509615384616
214,1.1872068397369797,0.8449519230769231
215,1.1893764280426369,0.8443509615384616
216,1.1901627615236667,0.8443509615384616
217,1.1880555494934106,0.8449519230769231
218,1.1906714520295876,0.84375
219,1.1931893946585812,0.8455528846153846
220,1.1908047454060027,0.8449519230769231
221,1.1944745130997787,0.8461538461538461
222,1.1894355235756555,0.8467548076923077
223,1.1884483713362548,0.8473557692307693
224,1.1923890641962904,0.8461538461538461
225,1.1851248534085261,0.8479567307692307
226,1.1871187995897243,0.8461538461538461
227,1.1821343953513468,0.8467548076923077
228,1.1887853542625053,0.8473557692307693
229,1.1948105444650965,0.8467548076923077
230,1.1988777758900038,0.8497596153846154
231,1.1855861826227265,0.8485576923076923
232,1.196360986656977,0.8497596153846154
233,1.193265506410915,0.8485576923076923
234,1.1865122207243564,0.8485576923076923
235,1.1934250334558825,0.8491586538461539
236,1.1921043396674318,0.8497596153846154
237,1.1917107163090066,0.8491586538461539
238,1.1841729517818556,0.8503605769230769
239,1.1863712740325318,0.8503605769230769
240,1.1920653052974517,0.8503605769230769
241,1.1964331938736743,0.8503605769230769
242,1.1901538123571198,0.8515625
243,1.19114213389777,0.8503605769230769
244,1.1956073101036835,0.8509615384615384
245,1.1852532115029706,0.8509615384615384
246,1.1888547462997456,0.8503605769230769
247,1.1969757248200357,0.8509615384615384
248,1.1842058751678008,0.8521634615384616
249,1.1907152198640338,0.8515625
250,1.196541722766424,0.8515625
