# Z A M_true(MeV) n Delta M_pred(MeV) err(%)
43 122 178.623309 2 1.445561 178.694514 0.039863
44 123 270.843088 2 2.191417 270.894191 0.018868
44 124 366.952787 4 0.185570 367.029901 0.021015
44 125 465.322290 2 3.764252 465.321744 0.000117
45 126 549.641136 2 4.446111 549.610471 0.005579
45 127 646.260362 4 0.327157 647.069590 0.125217
45 128 736.484881 2 5.960129 736.767253 0.038341
46 129 837.724317 4 0.423493 837.607364 0.013961
46 130 926.709017 3 1.875517 927.375473 0.071916
46 131 86.039316 1 2.784808 86.061711 0.026029
47 132 179.843566 2 1.454379 179.784559 0.032810
47 133 278.312739 2 2.251505 278.322086 0.003358
48 134 370.397452 3 0.749156 370.430605 0.008951
48 135 460.871611 2 3.732837 461.438423 0.122987
49 136 555.186320 3 1.122634 555.101855 0.015214
49 137 644.160774 3 1.302054 643.818743 0.053097
50 138 736.945039 3 1.490306 736.902648 0.005752
50 139 836.294474 2 6.762813 835.991941 0.036175
50 140 924.948493 2 7.483202 925.043472 0.010269
51 141 90.869113 1 2.940341 90.868287 0.000909
51 142 180.633473 3 0.365264 180.609993 0.012999
52 143 276.177755 2 2.233897 276.145358 0.011731
52 144 364.322247 2 2.946506 364.235228 0.023885
52 145 463.681929 3 0.937379 463.500413 0.039147
53 146 551.301059 3 1.115069 551.361660 0.010992
53 147 648.790300 5 0.082016 648.866151 0.011691
54 148 743.805493 2 6.019819 744.145898 0.045765
54 149 833.289474 2 6.742164 833.439299 0.017980
54 150 930.448966 2 7.526042 930.339214 0.011796
55 151 86.814319 2 0.702683 86.862811 0.055858
55 152 185.113960 2 1.496684 185.014079 0.053956
56 153 270.923197 4 0.136967 270.900140 0.008510
56 154 367.622531 5 0.046508 367.943376 0.087276
57 155 465.076375 3 0.940182 464.886230 0.040885
57 156 553.790942 2 4.479933 553.791400 0.000083
57 157 650.920627 3 1.316181 650.804227 0.017882
58 158 736.600386 2 5.960129 736.767253 0.022654
58 159 834.949396 3 1.688773 835.037251 0.010522
59 160 923.239202 2 7.473872 923.890219 0.070515
59 161 88.604651 1 2.867464 88.616097 0.012918
60 162 184.548543 2 1.493104 184.571539 0.012460
60 163 273.313411 2 2.210711 273.279250 0.012499
61 164 371.497546 2 3.007291 371.749291 0.067765
61 165 459.021664 2 3.713528 459.051509 0.006502
62 166 555.706094 2 4.494269 555.563515 0.025657
62 167 644.660986 2 5.215915 644.770497 0.016987
62 168 741.500045 3 1.498941 741.172260 0.044206
63 169 830.629127 3 1.678639 830.026566 0.072543
63 170 928.578526 3 1.877699 928.454581 0.013348
64 171 84.884263 3 0.171726 84.912558 0.033334
64 172 181.273410 3 0.366649 181.294632 0.011707
65 173 270.883142 2 2.191417 270.894191 0.004079
65 174 368.572655 2 2.980098 368.387817 0.050150
66 175 456.962130 2 3.697083 457.018584 0.012354
66 176 553.231114 2 4.473304 552.971945 0.046847
67 177 643.710862 3 1.302054 643.818743 0.016759
67 178 741.010079 3 1.498941 741.172260 0.021887
68 179 830.209954 3 1.678639 830.026566 0.022089
68 180 926.259106 2 7.490815 925.984626 0.029633
69 181 85.654609 2 0.693217 85.692704 0.044476
