# Z A M_true(MeV) n_oct Delta M_pred(MeV) err(%)
41 115 107090.941817 6 3.384039 107090.280174 0.000618
41 116 108028.085431 8 0.213332 108016.863273 0.010388
42 117 108949.120718 6 3.440032 108862.214023 0.079768
42 118 109883.933734 6 3.472464 109888.549387 0.004200
42 119 110821.218004 7 0.875679 110845.870394 0.022245
43 120 111744.292331 6 3.530884 111737.291770 0.006265
43 121 112679.246003 6 3.560929 112688.081770 0.007842
43 122 113615.975102 6 3.588122 113548.618909 0.059284
44 123 114537.224632 6 3.621715 114611.681857 0.065007
44 124 115471.679023 6 3.649188 115481.097987 0.008157
44 125 116408.393218 6 3.678087 116395.629045 0.010965
45 126 117331.056756 6 3.706288 117288.078273 0.036630
45 127 118266.020674 7 0.934386 118277.134628 0.009397
45 128 119203.904826 7 0.941545 119183.365969 0.017230
46 129 120124.859073 7 0.948245 120031.463153 0.077749
46 130 121061.503406 6 3.828466 121154.480644 0.076802
46 131 121999.987440 7 0.964043 122031.301646 0.025667
47 132 122922.821442 6 3.884453 122926.231328 0.002774
47 133 123859.635307 7 0.978501 123861.384145 0.001412
48 134 124780.749771 6 3.943451 124793.249100 0.010017
48 135 125718.883563 8 0.248318 125731.214523 0.009808
49 136 126642.228024 7 1.000537 126650.779461 0.006752
49 137 127578.862111 6 4.032462 127610.076141 0.024466
50 138 128500.676127 8 0.253743 128477.893340 0.017730
50 139 129438.370254 7 1.023111 129508.237582 0.053977
50 140 130374.683907 7 1.030093 130392.027440 0.013303
51 141 131301.128380 6 4.147426 131248.196809 0.040313
51 142 132238.552373 7 1.045705 132368.313434 0.098126
52 143 133163.126406 10 0.016445 133229.785735 0.050058
52 144 134098.930532 6 4.240543 134194.919874 0.071581
52 145 135036.634905 7 1.066769 135034.545981 0.001547
53 146 135962.598727 9 0.067116 135931.935261 0.022553
53 147 136898.432661 6 4.328155 136967.491422 0.050445
54 148 137822.477605 6 4.354568 137803.331468 0.013892
54 149 138759.621219 8 0.274118 138794.464667 0.025111
54 150 139695.125404 6 4.415430 139729.347420 0.024498
55 151 140621.329551 6 4.442988 140601.440301 0.014144
55 152 141557.973884 6 4.473304 141560.817803 0.002009
56 153 142482.127813 6 4.503349 142511.607803 0.020690
56 154 143417.171840 8 0.283225 143405.742829 0.007969
57 155 144343.655435 7 1.140234 144334.048056 0.006656
57 156 145280.029635 6 4.589437 145235.935044 0.030351
57 157 146215.504012 6 4.619878 146199.241897 0.011122
58 158 147139.528463 6 4.649236 147128.303139 0.007629
58 159 148076.222166 6 4.677706 148029.253034 0.031720
59 160 149002.856663 7 1.177193 149012.356866 0.006376
59 161 149938.060907 7 1.184305 149912.573245 0.016999
60 162 150863.034551 6 4.765173 150797.205987 0.043635
60 163 151799.459051 8 0.299895 151845.961853 0.030634
61 164 152726.672938 9 0.075410 152730.677791 0.002622
61 165 153661.856689 6 4.853638 153596.738370 0.042378
62 166 154587.570870 6 4.883464 154540.615873 0.030374
62 167 155524.185396 6 4.914423 155520.338457 0.002474
62 168 156459.369146 6 4.944027 156457.171407 0.001405
63 169 157386.842920 6 4.972374 157354.224705 0.020725
63 170 158323.137012 6 5.004151 158359.827708 0.023175
64 171 159249.281544 6 5.032859 159268.341558 0.011969
64 172 160184.015382 6 5.064000 160253.791981 0.043560
65 173 161111.969807 7 1.271618 160964.940549 0.091259
65 174 162048.004012 6 5.120655 162046.706514 0.000801
66 175 162974.738180 7 1.287675 162997.499552 0.013966
66 176 163909.351856 6 5.180402 163937.429888 0.017130
67 177 164838.176296 7 1.302054 164817.598213 0.012484
67 178 165773.820205 6 5.239740 165815.224729 0.024977
68 179 166701.364772 7 1.316803 166684.608960 0.010051
68 180 167635.758616 7 1.324351 167640.018092 0.002541
69 181 168564.992913 7 1.331247 168512.889426 0.030910
69 182 169500.436551 6 5.355612 169482.066113 0.010838
70 183 170428.420783 6 5.387220 170482.315234 0.031623
70 184 171362.314415 9 0.084610 171363.499544 0.000692
70 185 172297.928516 6 5.440135 172156.853409 0.081879
71 186 173227.582917 7 1.368812 173268.058290 0.023365
71 187 174161.627450 6 5.508377 174316.437698 0.088889
71 188 175097.071088 7 1.382646 175019.207055 0.044469
72 189 176025.235099 7 1.389667 175907.858959 0.066681
72 190 176959.079361 6 5.592988 176993.992378 0.019729
73 191 177888.853925 6 5.619740 177840.580190 0.027137
73 192 178823.767542 6 5.650056 178799.957692 0.013315
73 193 179757.552189 6 5.682586 179829.378290 0.039957
73 194 180692.725693 8 0.356738 180627.743631 0.035963
74 195 181620.610256 7 1.434425 181573.460319 0.025961
74 196 182554.104276 7 1.442226 182561.038693 0.003799
74 197 183489.467805 6 5.797709 183472.528821 0.009232
75 198 184418.841827 6 5.825108 184339.595859 0.042971
75 199 185352.596665 7 1.464400 185367.791548 0.008198
76 200 186280.270710 8 0.367862 186260.066883 0.010846
76 201 187215.474954 7 1.479741 187309.745252 0.050354
76 202 188149.278230 8 0.371618 188161.975744 0.006749
76 203 189086.032480 7 1.494062 189122.520593 0.019297
77 204 190015.226723 8 0.375081 189915.292114 0.052593
77 205 190950.690854 6 6.031539 190872.248150 0.041080
78 206 191878.544677 7 1.516816 192002.803108 0.064759
78 207 192815.139641 7 1.523226 192814.215336 0.000479
78 208 193750.273091 7 1.531214 193825.327602 0.038738
79 209 194680.037409 10 0.024032 194688.574974 0.004385
79 210 195616.441417 8 0.386389 195640.713460 0.012408
80 211 196544.865315 6 6.210948 196549.773957 0.002497
80 212 197479.769617 7 1.560220 197497.001506 0.008726
80 213 198416.443758 6 6.271037 198451.315127 0.017575
80 214 199351.508277 7 1.574706 199330.651740 0.010462
80 215 200288.341704 7 1.582415 200306.549182 0.009091
80 216 201223.646549 7 1.589771 201237.658976 0.006964
81 217 202152.879915 7 1.596775 202124.163276 0.014205
81 218 203089.424578 6 6.413364 202955.363114 0.066011
82 219 204017.827983 6 6.446701 204010.350745 0.003665
82 220 204952.832887 7 1.619364 204983.548746 0.014987
83 221 205884.396852 6 6.498958 205664.060356 0.107020
83 222 206820.640642 8 0.408674 206924.299281 0.050120
83 223 207755.424782 6 6.566217 207792.502084 0.017847
83 224 208691.748681 7 1.649090 208746.403899 0.026189
84 225 209620.752900 6 6.624423 209634.467857 0.006543
84 226 210555.215674 6 6.646415 210330.429276 0.106759
84 227 211491.441767 6 6.681267 211433.329219 0.027477
85 228 212422.535327 7 1.678429 212460.247845 0.017754
85 229 213357.039086 6 6.742164 213360.460617 0.001604
86 230 214285.813226 7 1.693107 214318.141341 0.015086
86 231 215221.687214 6 6.796569 215082.143980 0.064837
87 232 216152.704587 8 0.426900 216152.718414 0.000006
87 233 217087.045913 9 0.107293 217303.909847 0.099897
88 234 218016.550595 7 1.721432 217903.706926 0.051759
88 235 218952.243780 7 1.729954 218982.381107 0.013764
89 236 219883.829169 7 1.737231 219903.545418 0.008967
89 237 220818.122411 6 6.981161 220923.701834 0.047813
90 238 221748.121465 6 7.009157 221809.641575 0.027743
90 239 222683.590253 7 1.758663 222616.436506 0.030157
91 240 223615.594814 6 7.065524 223593.428129 0.009913
91 241 224549.819126 6 7.096813 224583.584330 0.015037
92 242 225480.192641 6 7.124451 225458.201589 0.009753
92 243 226415.546855 6 7.156354 226467.818216 0.023086
93 244 227347.801057 6 7.190743 227556.058353 0.091603
93 245 228281.905205 6 7.214775 228316.560599 0.015181
94 246 229212.943966 7 1.811084 229252.000474 0.017039
94 247 230148.253310 6 7.272759 230151.522959 0.001421
95 248 231081.099941 6 7.302241 231084.513552 0.001477
95 249 232015.135160 6 7.331331 232005.084760 0.004332
96 250 232946.515191 7 1.841128 233055.160472 0.046640
96 251 233881.667681 7 1.846651 233754.227821 0.054489
96 252 234815.569714 9 0.115872 234677.848598 0.058651
97 253 235748.936120 9 0.116405 235757.103541 0.003464
97 254 236683.895380 6 7.483202 236811.128921 0.053757
98 255 237615.804929 7 1.877699 237684.372757 0.028857
98 256 238549.530891 6 7.543363 238714.970512 0.069352
99 257 239483.388194 7 1.891897 239481.626137 0.000736
99 258 240418.180717 7 1.899548 240450.130005 0.013289
100 259 241350.677108 6 7.625379 241310.435118 0.016674
100 260 242284.232606 7 1.913434 242207.846898 0.031527
101 261 243218.538889 7 1.920857 243147.460903 0.029224
101 262 244153.121826 6 7.717005 244210.002393 0.023297
102 263 245086.078375 7 1.936133 245081.074828 0.002042
102 264 246019.454095 6 7.774360 246025.039579 0.002270
103 265 246954.170236 7 1.951288 246999.406793 0.018318
103 266 247889.093168 6 7.834449 247926.580749 0.015123
104 267 248822.369218 6 7.860929 248764.556785 0.023234
104 268 249755.894909 8 0.493242 249743.609524 0.004919
105 269 250691.061893 8 0.494864 250565.204704 0.050204
105 270 251625.805047 7 1.987973 251643.206857 0.006916
106 271 252559.518900 7 1.995655 252615.529727 0.022177
106 272 253492.916045 7 2.003249 253576.820782 0.033099
106 273 254427.810101 7 2.010020 254433.938002 0.002409
107 274 255363.145685 7 2.017424 255371.207188 0.003157
107 275 256296.658335 7 2.024558 256274.151680 0.008781
107 276 257231.322312 8 0.508103 257268.360081 0.014399
107 277 258164.966302 8 0.509882 258169.084184 0.001595
107 278 259099.730881 7 2.046959 259109.821486 0.003894
108 279 260033.354379 8 0.513310 259905.015168 0.049355
108 280 260966.768290 6 8.247688 261003.825885 0.014200
109 281 261902.242667 6 8.276310 261909.580293 0.002802
109 282 262836.792070 7 2.076362 262831.740653 0.001922
