Z,k,E_eV
66,36,1638.0
66,37,1691.7
66,38,2882.0
66,39,2987.0
66,40,3098.0
66,41,3217.0
66,42,3331.0
66,43,3445.0
66,44,3607.0
66,45,3725.0
66,46,3852.0
66,47,3970.0
66,48,4303.0
66,49,4407.0
66,50,4523.0
66,51,4629.0
66,52,4945.0
66,53,5066.0
66,54,5296.0
66,55,5412.0
66,56,12081.0
66,57,12370.0
66,58,12690.0
66,59,12986.0
66,60,14144.0
66,61,14495.0
66,62,14936.0
66,63,15228.06
66,64,61736.62
66,65,63073.23
67,0,6.0215
67,1,11.781
67,2,22.79
67,3,42.52
67,4,63.9
67,5,95.0
67,6,112.0
67,7,129.0
67,8,155.0
67,9,173.0
67,10,197.0
67,11,229.0
67,12,263.0
67,13,284.0
67,14,305.0
67,15,340.0
67,16,373.0
67,17,408.0
67,18,441.0
67,19,475.0
67,20,510.0
67,21,715.0
67,22,755.0
67,23,797.0
67,24,842.0
67,25,885.0
67,26,929.0
67,27,985.0
67,28,1029.0
67,29,1077.0
67,30,1122.0
67,31,1300.0
67,32,1346.0
67,33,1395.0
67,34,1443.0
67,35,1545.0
67,36,1598.0
67,37,1719.0
67,38,1773.6
67,39,3018.0
67,40,3125.0
67,41,3238.0
67,42,3359.0
67,43,3476.0
67,44,3592.0
67,45,3760.0
67,46,3880.0
67,47,4009.0
67,48,4131.0
67,49,4469.0
67,50,4576.0
67,51,4693.0
67,52,4802.0
67,53,5135.0
67,54,5258.0
67,55,5494.0
67,56,5611.0
67,57,12495.0
67,58,12790.0
67,59,13116.0
67,60,13417.0
67,61,14639.0
67,62,14998.0
67,63,15448.0
67,64,15745.77
67,65,63772.42
67,66,65137.13
68,0,6.1077
68,1,11.916
68,2,22.7
68,3,42.42
68,4,65.1
68,5,96.0
68,6,114.0
68,7,131.0
68,8,158.0
68,9,177.0
68,10,201.0
68,11,235.0
68,12,268.0
68,13,290.0
68,14,311.0
68,15,345.0
68,16,381.0
68,17,415.0
68,18,450.0
68,19,486.0
68,20,520.0
68,21,555.0
68,22,770.0
68,23,810.0
68,24,853.0
68,25,899.0
68,26,943.0
68,27,989.0
68,28,1046.0
68,29,1092.0
68,30,1142.0
68,31,1188.0
68,32,1370.0
68,33,1416.0
68,34,1468.0
68,35,1516.0
68,36,1625.0
68,37,1678.0
68,38,1803.0
68,39,1858.5
68,40,3157.0
68,41,3265.0
68,42,3381.0
68,43,3505.0
68,44,3624.0
68,45,3742.0
68,46,3916.0
68,47,4038.0
68,48,4170.0
68,49,4294.0
68,50,4639.0
68,51,4748.0
68,52,4866.0
68,53,4978.0
68,54,5329.0
68,55,5455.0
68,56,5695.0
68,57,5815.0
68,58,12918.0
68,59,13217.0
68,60,13548.0
68,61,13855.0
68,62,15146.0
68,63,15511.0
68,64,15971.0
68,65,16274.56
68,66,65848.24
68,67,67241.48
69,0,6.184402
69,1,12.065
69,2,23.66
69,3,42.41
69,4,65.4
69,5,98.0
69,6,116.0
69,7,133.0
69,8,160.0
69,9,180.0
69,10,205.0
69,11,239.0
69,12,274.0
69,13,295.0
69,14,317.0
69,15,352.0
69,16,387.0
69,17,424.0
69,18,460.0
69,19,496.0
69,20,530.0
69,21,570.0
69,22,603.0
69,23,825.0
69,24,866.0
69,25,911.0
69,26,958.0
69,27,1004.0
69,28,1050.0
69,29,1110.0
69,30,1157.0
69,31,1207.0
69,32,1255.0
69,33,1442.0
69,34,1490.0
69,35,1542.0
69,36,1591.0
69,37,1706.0
69,38,1761.0
69,39,1889.0
69,40,1945.2
69,41,3298.0
69,42,3409.0
69,43,3528.0
69,44,3653.0
69,45,3775.0
69,46,3895.0
69,47,4075.0
69,48,4199.0
69,49,4335.0
69,50,4461.0
69,51,4812.0
69,52,4922.0
69,53,5044.0
69,54,5157.0
69,55,5527.0
69,56,5656.0
69,57,5901.0
69,58,6023.0
69,59,13347.0
69,60,13651.0
69,61,13988.0
69,62,14300.0
69,63,15663.0
69,64,16036.0
69,65,16510.0
69,66,16814.34
69,67,67965.25
69,68,69387.45
70,0,6.25416
70,1,12.179185
70,2,25.053
70,3,43.61
70,4,65.6
70,5,99.0
70,6,117.0
70,7,135.0
70,8,163.0
70,9,182.0
70,10,209.0
70,11,244.0
70,12,279.0
70,13,301.0
70,14,324.0
70,15,360.0
70,16,396.0
70,17,431.0
70,18,469.0
70,19,505.0
70,20,540.0
70,21,580.0
70,22,610.0
70,23,651.0
70,24,882.0
70,25,924.0
70,26,971.0
70,27,1019.0
70,28,1065.0
70,29,1114.0
70,30,1175.0
70,31,1224.0
70,32,1275.0
70,33,1324.0
70,34,1516.0
70,35,1564.0
70,36,1618.0
70,37,1668.0
70,38,1789.0
70,39,1845.0
70,40,1978.0
70,41,2036.4
70,42,3443.0
70,43,3555.0
70,44,3677.0
70,45,3805.0
70,46,3929.0
70,47,4051.0
70,48,4238.0
70,49,4364.0
70,50,4502.0
70,51,4630.0
70,52,4988.0
70,53,5101.0
70,54,5224.0
70,55,5339.0
70,56,5731.0
70,57,5860.0
70,58,6111.0
70,59,6236.0
70,60,13784.0
70,61,14093.0
70,62,14435.0
70,63,14752.0
70,64,16191.0
70,65,16570.0
70,66,17050.0
70,67,17365.44
70,68,70123.04
70,69,71574.63
71,0,5.425871
71,1,14.13
71,2,20.9594
71,3,45.249
71,4,66.8
71,5,98.0
71,6,117.0
71,7,136.0
71,8,159.0
71,9,185.0
71,10,205.0
71,11,238.0
71,12,276.0
71,13,305.0
71,14,328.0
71,15,361.0
71,16,399.0
71,17,438.0
71,18,476.0
71,19,520.0
71,20,560.0
71,21,600.0
71,22,630.0
71,23,670.0
71,24,713.0
71,25,941.0
71,26,985.0
71,27,1032.0
71,28,1081.0
71,29,1130.0
71,30,1178.0
71,31,1242.0
71,32,1292.0
71,33,1345.0
71,34,1395.0
71,35,1591.0
71,36,1641.0
71,37,1696.0
71,38,1747.0
71,39,1875.0
71,40,1933.0
71,41,2067.0
71,42,2125.5
71,43,3590.0
71,44,3706.0
71,45,3828.0
71,46,3960.0
71,47,4086.0
71,48,4211.0
71,49,4403.0
71,50,4532.0
71,51,4673.0
71,52,4803.0
71,53,5168.0
71,54,5282.0
71,55,5408.0
71,56,5525.0
71,57,5937.0
71,58,6070.0
71,59,6326.0
71,60,6452.0
71,61,14228.0
71,62,14542.0
71,63,14890.0
71,64,15211.0
71,65,16730.0
71,66,17120.0
71,67,17610.0
71,68,17928.05
71,69,72322.87
71,70,73804.35
72,0,6.82507
72,1,14.61
72,2,22.55
72,3,33.37
72,4,68.37
72,5,98.0
72,6,118.0
72,7,137.0
72,8,157.0
72,9,187.0
72,10,209.0
72,11,230.0
72,12,270.0
72,13,310.0
72,14,334.0
72,15,359.0
72,16,399.0
72,17,440.0
72,18,481.0
72,19,520.0
72,20,570.0
72,21,610.0
72,22,650.0
72,23,690.0
72,24,730.0
72,25,772.0
72,26,1002.0
72,27,1047.0
72,28,1094.0
72,29,1146.0
72,30,1195.0
72,31,1245.0
72,32,1311.0
72,33,1362.0
72,34,1417.0
72,35,1467.0
72,36,1669.0
72,37,1719.0
72,38,1776.0
72,39,1827.0
72,40,1963.0
72,41,2022.0
72,42,2159.0
72,43,2218.9
72,44,3741.0
72,45,3858.0
72,46,3984.0
72,47,4118.0
72,48,4246.0
72,49,4372.0
72,50,4573.0
72,51,4703.0
72,52,4846.0
72,53,4980.0
72,54,5350.0
72,55,5468.0
72,56,5595.0
72,57,5713.0
72,58,6149.0
72,59,6284.0
72,60,6545.0
72,61,6674.0
72,62,14678.0
72,63,14999.0
72,64,15351.0
72,65,15680.0
72,66,17280.0
72,67,17680.0
72,68,18180.0
72,69,18502.32
72,70,74565.91
72,71,76077.7
73,0,7.549571
73,1,16.2
73,2,23.1
73,3,35.0
73,4,48.272
73,5,94.01
73,6,119.0
73,7,139.0
73,8,159.0
73,9,180.0
73,10,213.0
73,11,235.0
73,12,262.0
73,13,304.0
73,14,338.0
73,15,363.0
73,16,396.0
73,17,439.0
73,18,482.0
73,19,530.0
73,20,570.0
73,21,610.0
73,22,660.0
73,23,700.0
73,24,750.0
73,25,790.0
73,26,832.0
73,27,1064.0
73,28,1110.0
73,29,1160.0
73,30,1211.0
73,31,1262.0
73,32,1313.0
73,33,1382.0
73,34,1434.0
73,35,1490.0
73,36,1542.0
73,37,1748.0
73,38,1799.0
73,39,1857.0
73,40,1910.0
73,41,2053.0
73,42,2113.0
73,43,2254.0
73,44,2314.7
73,45,3898.7
73,46,4014.0
73,47,4143.0
73,48,4278.0
73,49,4410.0
73,50,4537.0
73,51,4745.0
73,52,4877.0
73,53,5024.0
73,54,5159.0
73,55,5537.0
73,56,5655.0
73,57,5785.0
73,58,5907.0
73,59,6364.0
73,60,6502.0
73,61,6769.0
73,62,6900.0
73,63,15137.0
73,64,15461.0
73,65,15820.0
73,66,16150.0
73,67,17840.0
73,68,18250.0
73,69,18760.0
73,70,19088.51
73,71,76852.0
73,72,78394.63
74,0,7.86403
74,1,16.37
74,2,26.0
74,3,38.2
74,4,51.6
74,5,64.77
74,6,122.01
74,7,141.2
74,8,160.2
74,9,179.0
74,10,208.9
74,11,231.6
74,12,258.3
74,13,290.7
74,14,325.3
74,15,361.9
74,16,387.9
74,17,420.7
74,18,462.1
74,19,502.6
74,20,543.4
74,21,594.5
74,22,640.6
74,23,685.6
74,24,734.1
74,25,784.4
74,26,833.4
74,27,881.4
74,28,1132.2
74,29,1180.0
74,30,1230.4
74,31,1283.4
74,32,1335.1
74,33,1386.8
74,34,1459.9
74,35,1512.4
74,36,1569.1
74,37,1621.7
74,38,1829.8
74,39,1882.9
74,40,1940.6
74,41,1994.8
74,42,2149.1
74,43,2210.0
74,44,2354.5
74,45,2414.1
74,46,4057.0
74,47,4180.0
74,48,4309.0
74,49,4446.0
74,50,4578.0
74,51,4709.0
74,52,4927.0
74,53,5063.0
74,54,5209.0
74,55,5348.0
74,56,5719.0
74,57,5840.0
74,58,5970.0
74,59,6093.0
74,60,6596.0
74,61,6735.0
74,62,7000.0
74,63,7130.0
74,64,15566.0
74,65,15896.0
74,66,16252.0
74,67,16588.0
74,68,18476.0
74,69,18872.0
74,70,19362.0
74,71,19686.74
74,72,79181.94
74,73,80755.91
75,0,7.83352
75,1,16.6
75,2,27.0
75,3,39.1
75,4,51.9
75,5,67.0
75,6,82.71
75,7,144.4
75,8,165.0
75,9,187.0
75,10,208.0
75,11,236.0
75,12,268.0
75,13,291.0
75,14,330.0
75,15,377.0
75,16,403.0
75,17,429.0
75,18,476.0
75,19,520.0
75,20,570.0
75,21,620.0
75,22,670.0
75,23,720.0
75,24,760.0
75,25,810.0
75,26,860.0
75,27,910.0
75,28,953.0
75,29,1194.0
75,30,1242.0
75,31,1294.0
75,32,1349.0
75,33,1402.0
75,34,1454.0
75,35,1530.0
75,36,1583.0
75,37,1641.0
75,38,1696.0
75,39,1912.0
75,40,1966.0
75,41,2025.0
75,42,2080.0
75,43,2240.0
75,44,2302.0
75,45,2450.0
75,46,2514.5
75,47,4214.0
75,48,4335.0
75,49,4468.0
75,50,4609.0
75,51,4745.0
75,52,4877.0
75,53,5099.0
75,54,5236.0
75,55,5388.0
75,56,5528.0
75,57,5919.0
75,58,6042.0
75,59,6176.0
75,60,6300.0
75,61,6810.0
75,62,6952.0
75,63,7230.0
75,64,7366.0
75,65,16080.0
75,66,16410.0
75,67,16780.0
75,68,17120.0
75,69,19000.0
75,70,19420.0
75,71,19950.0
75,72,20297.4
75,73,81556.58
75,74,83162.41
76,0,8.43823
76,1,17.0
76,2,25.0
76,3,41.0
76,4,55.0
76,5,70.1
76,6,85.1
76,7,102.02
76,8,168.7
76,9,190.0
76,10,213.0
76,11,235.0
76,12,269.0
76,13,298.0
76,14,322.0
76,15,367.0
76,16,410.0
76,17,436.0
76,18,470.0
76,19,520.0
76,20,570.0
76,21,620.0
76,22,670.0
76,23,720.0
76,24,770.0
76,25,820.0
76,26,870.0
76,27,920.0
76,28,970.0
76,29,1015.0
76,30,1262.0
76,31,1311.0
76,32,1364.0
76,33,1420.0
76,34,1474.0
76,35,1528.0
76,36,1606.0
76,37,1660.0
76,38,1720.0
76,39,1776.0
76,40,1996.0
76,41,2052.0
76,42,2112.0
76,43,2168.0
76,44,2336.0
76,45,2400.0
76,46,2552.0
76,47,2615.5
76,48,4374.0
76,49,4501.0
76,50,4635.0
76,51,4779.0
76,52,4917.0
76,53,5052.0
76,54,5280.0
76,55,5421.0
76,56,5575.0
76,57,5717.0
76,58,6115.0
76,59,6240.0
76,60,6376.0
76,61,6503.0
76,62,7039.0
76,63,7185.0
76,64,7468.0
76,65,7610.0
76,66,16560.0
76,67,16900.0
76,68,17270.0
76,69,17620.0
76,70,19600.0
76,71,20030.0
76,72,20570.0
76,73,20920.6
76,74,83976.18
76,75,85614.42
77,0,8.96702
77,1,17.0
77,2,28.0
77,3,40.0
77,4,57.0
77,5,72.0
77,6,89.0
77,7,105.0
77,8,122.7
77,9,194.8
77,10,217.0
77,11,240.0
77,12,264.0
77,13,303.0
77,14,329.0
77,15,356.0
77,16,407.0
77,17,445.0
77,18,472.0
77,19,510.0
77,20,560.0
77,21,610.0
77,22,670.0
77,23,720.0
77,24,770.0
77,25,820.0
77,26,870.0
77,27,920.0
77,28,980.0
77,29,1030.0
77,30,1080.0
77,31,1331.0
77,32,1381.0
77,33,1436.0
77,34,1493.0
77,35,1548.0
77,36,1603.0
77,37,1684.0
77,38,1739.0
77,39,1801.0
77,40,1857.0
77,41,2083.0
77,42,2139.0
77,43,2201.0
77,44,2258.0
77,45,2435.0
77,46,2500.0
77,47,2656.0
77,48,2720.4
77,49,4540.0
77,50,4668.0
77,51,4806.0
77,52,4952.0
77,53,5092.0
77,54,5229.0
77,55,5466.0
77,56,5609.0
77,57,5765.0
77,58,5910.0
77,59,6315.0
77,60,6441.0
77,61,6580.0
77,62,6708.0
77,63,7274.0
77,64,7421.0
77,65,7710.0
77,66,7850.0
77,67,17040.0
77,68,17390.0
77,69,17770.0
77,70,18120.0
77,71,20210.0
77,72,20650.0
77,73,21200.0
77,74,21556.6
77,75,86442.44
77,76,88113.6
78,0,8.95883
78,1,18.56
78,2,29.0
78,3,43.0
78,4,56.0
78,5,75.0
78,6,91.0
78,7,109.0
78,8,126.0
78,9,144.9
78,10,220.4
78,11,245.0
78,12,269.0
78,13,293.0
78,14,332.0
78,15,358.0
78,16,392.0
78,17,445.0
78,18,479.0
78,19,507.0
78,20,550.0
78,21,610.0
78,22,660.0
78,23,710.0
78,24,760.0
78,25,820.0
78,26,870.0
78,27,930.0
78,28,980.0
78,29,1040.0
78,30,1090.0
78,31,1140.0
78,32,1402.0
78,33,1454.0
78,34,1509.0
78,35,1567.0
78,36,1624.0
78,37,1680.0
78,38,1763.0
78,39,1821.0
78,40,1883.0
78,41,1941.0
78,42,2171.0
78,43,2228.0
78,44,2291.0
78,45,2350.0
78,46,2536.0
78,47,2603.0
78,48,2762.0
78,49,2827.8
78,50,4715.0
78,51,4839.0
78,52,4980.0
78,53,5128.0
78,54,5270.0
78,55,5410.0
78,56,5654.0
78,57,5800.0
78,58,5959.0
78,59,6106.0
78,60,6517.0
78,61,6646.0
78,62,6787.0
78,63,6918.0
78,64,7512.0
78,65,7660.0
78,66,7960.0
78,67,8100.0
78,68,17540.0
78,69,17890.0
78,70,18280.0
78,71,18630.0
78,72,20840.0
78,73,21280.0
78,74,21840.0
78,75,22205.7
78,76,88955.1
78,77,90659.84
79,0,9.225554
79,1,20.203
79,2,30.0
79,3,45.0
79,4,60.0
79,5,74.0
79,6,94.0
79,7,112.0
79,8,130.1
79,9,149.0
79,10,168.2
79,11,248.0
79,12,275.0
79,13,299.0
79,14,324.0
79,15,365.0
79,16,392.0
79,17,433.0
79,18,487.0
79,19,520.0
79,20,550.0
79,21,600.0
79,22,650.0
79,23,710.0
79,24,760.0
79,25,820.0
79,26,870.0
79,27,930.0
79,28,990.0
79,29,1040.0
79,30,1100.0
79,31,1150.0
79,32,1210.0
79,33,1475.0
79,34,1527.0
79,35,1584.0
79,36,1644.0
79,37,1702.0
79,38,1758.0
79,39,1845.0
79,40,1904.0
79,41,1967.0
79,42,2026.0
79,43,2261.0
79,44,2320.0
79,45,2383.0
79,46,2443.0
79,47,2640.0
79,48,2708.0
79,49,2870.0
79,50,2941.0
79,51,4888.0
79,52,5013.0
79,53,5156.0
79,54,5307.0
79,55,5452.0
79,56,5594.0
79,57,5846.0
79,58,5994.0
79,59,6156.0
79,60,6305.0
79,61,6724.0
79,62,6854.0
79,63,6997.0
79,64,7130.0
79,65,7760.0
79,66,7910.0
79,67,8210.0
79,68,8360.0
79,69,18040.0
79,70,18400.0
79,71,18790.0
79,72,19150.0
79,73,21470.0
79,74,21920.0
79,75,22500.0
79,76,22868.1
79,77,91515.8
79,78,93254.62
80,0,10.437504
80,1,18.75688
80,2,34.49
80,3,48.55
80,4,61.2
80,5,76.6
80,6,93.0
80,7,113.9
80,8,134.0
80,9,153.0
80,10,173.0
80,11,192.7
80,12,276.9
80,13,307.0
80,14,332.0
80,15,357.0
80,16,402.0
80,17,429.0
80,18,477.0
80,19,530.0
80,20,560.0
80,21,590.0
80,22,650.0
80,23,710.0
80,24,760.0
80,25,820.0
80,26,880.0
80,27,930.0
80,28,990.0
80,29,1050.0
80,30,1110.0
80,31,1160.0
80,32,1220.0
80,33,1280.0
80,34,1549.0
80,35,1603.0
80,36,1661.0
80,37,1723.0
80,38,1780.0
80,39,1839.0
80,40,1928.0
80,41,1989.0
80,42,2052.0
80,43,2113.0
80,44,2354.0
80,45,2412.0
80,46,2478.0
80,47,2539.0
80,48,2745.0
80,49,2815.0
80,50,2981.0
80,51,3049.9
80,52,5055.0
80,53,5191.0
80,54,5335.0
80,55,5490.0
80,56,5636.0
80,57,5780.0
80,58,6041.0
80,59,6192.0
80,60,6356.0
80,61,6508.0
80,62,6933.0
80,63,7066.0
80,64,7211.0
80,65,7350.0
80,66,8010.0
80,67,8160.0
80,68,8470.0
80,69,8620.0
80,70,18550.0
80,71,18910.0
80,72,19310.0
80,73,19680.0
80,74,22120.0
80,75,22580.0
80,76,23170.0
80,77,23544.1
80,78,94124.7
80,79,95898.19
81,0,6.1082873
81,1,20.4283
81,2,29.852
81,3,51.14
81,4,62.6
81,5,80.0
81,6,97.9
81,7,116.0
81,8,135.0
81,9,158.0
81,10,177.0
81,11,198.0
81,12,218.3
81,13,306.9
81,14,340.0
81,15,366.0
81,16,392.0
81,17,439.0
81,18,467.0
81,19,520.0
81,20,570.0
81,21,600.0
81,22,640.0
81,23,700.0
81,24,760.0
81,25,820.0
81,26,880.0
81,27,930.0
81,28,990.0
81,29,1060.0
81,30,1110.0
81,31,1170.0
81,32,1230.0
81,33,1290.0
81,34,1350.0
81,35,1625.0
81,36,1681.0
81,37,1740.0
81,38,1802.0
81,39,1862.0
81,40,1920.0
81,41,2014.0
81,42,2075.0
81,43,2140.0
81,44,2202.0
81,45,2447.0
81,46,2508.0
81,47,2574.0
81,48,2635.0
81,49,2854.0
81,50,2925.0
81,51,3094.0
81,52,3164.7
81,53,5234.0
81,54,5371.0
81,55,5518.0
81,56,5674.0
81,57,5824.0
81,58,5969.0
81,59,6241.0
81,60,6392.0
81,61,6560.0
81,62,6714.0
81,63,7146.0
81,64,7281.0
81,65,7430.0
81,66,7570.0
81,67,8260.0
81,68,8420.0
81,69,8730.0
81,70,8880.0
81,71,19070.0
81,72,19440.0
81,73,19840.0
81,74,20210.0
81,75,22780.0
81,76,23250.0
81,77,23850.0
81,78,24234.1
81,79,96783.2
81,80,98592.12
82,0,7.4166799
82,1,15.032499
82,2,31.9373
82,3,42.33256
82,4,68.8
82,5,82.9
82,6,100.1
82,7,120.0
82,8,138.0
82,9,158.0
82,10,182.0
82,11,203.0
82,12,224.0
82,13,245.1
82,14,338.1
82,15,374.0
82,16,401.0
82,17,427.0
82,18,478.0
82,19,507.0
82,20,570.0
82,21,610.0
82,22,650.0
82,23,690.0
82,24,750.0
82,25,810.0
82,26,870.0
82,27,930.0
82,28,990.0
82,29,1050.0
82,30,1120.0
82,31,1180.0
82,32,1240.0
82,33,1300.0
82,34,1360.0
82,35,1430.0
82,36,1704.0
82,37,1760.0
82,38,1819.0
82,39,1884.0
82,40,1945.0
82,41,2004.0
82,42,2101.0
82,43,2163.0
82,44,2230.0
82,45,2292.0
82,46,2543.0
82,47,2605.0
82,48,2671.0
82,49,2735.0
82,50,2965.0
82,51,3036.0
82,52,3211.0
82,53,3282.1
82,54,5414.0
82,55,5555.0
82,56,5703.0
82,57,5862.0
82,58,6015.0
82,59,6162.0
82,60,6442.0
82,61,6597.0
82,62,6767.0
82,63,6924.0
82,64,7362.0
82,65,7500.0
82,66,7650.0
82,67,7790.0
82,68,8520.0
82,69,8680.0
82,70,9000.0
82,71,9150.0
82,72,19590.0
82,73,19970.0
82,74,20380.0
82,75,20750.0
82,76,23460.0
82,77,23940.0
82,78,24550.0
82,79,24938.2
82,80,99491.8
82,81,101336.7
83,0,7.285516
83,1,16.703
83,2,25.57075
83,3,45.37
83,4,54.856
83,5,88.4
83,6,103.0
83,7,122.0
83,8,143.0
83,9,161.1
83,10,183.0
83,11,208.0
83,12,229.0
83,13,252.0
83,14,272.6
83,15,370.2
83,16,409.0
83,17,436.0
83,18,464.0
83,19,520.0
83,20,550.0
83,21,620.0
83,22,660.0
83,23,690.0
83,24,750.0
83,25,810.0
83,26,870.0
83,27,930.0
83,28,990.0
83,29,1060.0
83,30,1120.0
83,31,1180.0
83,32,1250.0
83,33,1310.0
83,34,1380.0
83,35,1440.0
83,36,1500.0
83,37,1784.0
83,38,1840.0
83,39,1902.0
83,40,1967.0
83,41,2029.0
83,42,2090.0
83,43,2190.0
83,44,2253.0
83,45,2321.0
83,46,2385.0
83,47,2641.0
83,48,2703.0
83,49,2771.0
83,50,2835.0
83,51,3078.0
83,52,3151.0
83,53,3329.0
83,54,3401.8
83,55,5599.0
83,56,5740.0
83,57,5892.0
83,58,6054.0
83,59,6208.0
83,60,6358.0
83,61,6648.0
83,62,6804.0
83,63,6977.0
83,64,7137.0
83,65,7580.0
83,66,7720.0
83,67,7870.0
83,68,8010.0
83,69,8780.0
83,70,8950.0
83,71,9270.0
83,72,9430.0
83,73,20130.0
83,74,20500.0
83,75,20920.0
83,76,21300.0
83,77,24150.0
83,78,24640.0
83,79,25260.0
83,80,25656.9
83,81,102251.8
83,82,104133.4
84,0,8.41807
84,1,19.3
84,2,27.3
84,3,36.0
84,4,57.0
84,5,69.1
84,6,108.0
84,7,125.0
84,8,146.1
84,9,166.0
84,10,186.0
84,11,209.0
84,12,235.0
84,13,257.0
84,14,281.0
84,15,304.0
84,16,416.0
84,17,444.0
84,18,473.0
84,19,502.0
84,20,560.0
84,21,590.0
84,22,670.0
84,23,700.0
84,24,740.0
84,25,800.0
84,26,870.0
84,27,930.0
84,28,990.0
84,29,1060.0
84,30,1120.0
84,31,1180.0
84,32,1250.0
84,33,1320.0
84,34,1380.0
84,35,1440.0
84,36,1510.0
84,37,1570.0
84,38,1865.0
84,39,1923.0
84,40,1986.0
84,41,2052.0
84,42,2115.0
84,43,2177.0
84,44,2281.0
84,45,2345.0
84,46,2414.0
84,47,2480.0
84,48,2740.0
84,49,2803.0
84,50,2873.0
84,51,2938.0
84,52,3194.0
84,53,3268.0
84,54,3450.0
84,55,3524.2
84,56,5785.0
84,57,5930.0
84,58,6084.0
84,59,6248.0
84,60,6405.0
84,61,6557.0
84,62,6856.0
84,63,7015.0
84,64,7191.0
84,65,7350.0
84,66,7810.0
84,67,7950.0
84,68,8100.0
84,69,8240.0
84,70,9050.0
84,71,9220.0
84,72,9550.0
84,73,9710.0
84,74,20670.0
84,75,21050.0
84,76,21470.0
84,77,21860.0
84,78,24860.0
84,79,25360.0
84,80,25990.0
84,81,26390.4
84,82,105064.3
84,83,106983.4
85,0,9.31751
85,1,17.88
85,2,26.58
85,3,39.65
85,4,50.39
85,5,72.0
85,6,85.1
85,7,130.1
85,8,149.0
85,9,169.0
85,10,192.1
85,11,212.0
85,12,236.0
85,13,263.0
85,14,287.0
85,15,311.0
85,16,335.0
85,17,452.0
85,18,481.0
85,19,510.0
85,20,540.0
85,21,600.0
85,22,630.0
85,23,720.0
85,24,750.0
85,25,790.0
85,26,860.0
85,27,920.0
85,28,990.0
85,29,1050.0
85,30,1120.0
85,31,1180.0
85,32,1250.0
85,33,1320.0
85,34,1380.0
85,35,1450.0
85,36,1510.0
85,37,1590.0
85,38,1650.0
85,39,1948.0
85,40,2007.0
85,41,2071.0
85,42,2139.0
85,43,2203.0
85,44,2266.0
85,45,2373.0
85,46,2439.0
85,47,2510.0
85,48,2576.0
85,49,2841.0
85,50,2905.0
85,51,2977.0
85,52,3042.0
85,53,3312.0
85,54,3388.0
85,55,3573.0
85,56,3649.0
85,57,5976.0
85,58,6122.0
85,59,6279.0
85,60,6445.0
85,61,6604.0
85,62,6759.0
85,63,7068.0
85,64,7230.0
85,65,7410.0
85,66,7570.0
85,67,8030.0
85,68,8180.0
85,69,8330.0
85,70,8480.0
85,71,9330.0
85,72,9500.0
85,73,9830.0
85,74,9990.0
85,75,21210.0
85,76,21600.0
85,77,22030.0
85,78,22420.0
85,79,25580.0
85,80,26090.0
85,81,26730.0
85,82,27139.0
85,83,107930.0
85,84,109887.2
86,0,10.7485
86,1,18.99
86,2,29.4
86,3,36.9
86,4,52.9
86,5,64.0
86,6,88.0
86,7,102.0
86,8,154.0
86,9,173.9
86,10,195.0
86,11,218.0
86,12,240.0
86,13,264.0
86,14,293.0
86,15,317.0
86,16,342.0
86,17,367.0
86,18,488.0
86,19,520.0
86,20,550.0
86,21,580.0
86,22,640.0
86,23,680.0
86,24,760.0
86,25,800.0
86,26,850.0
86,27,920.0
86,28,980.0
86,29,1050.0
86,30,1110.0
86,31,1180.0
86,32,1250.0
86,33,1310.0
86,34,1390.0
86,35,1460.0
86,36,1520.0
86,37,1590.0
86,38,1660.0
86,39,1720.0
86,40,2033.0
86,41,2094.0
86,42,2158.0
86,43,2227.0
86,44,2293.0
86,45,2357.0
86,46,2467.0
86,47,2535.0
86,48,2606.0
86,49,2674.0
86,50,2944.0
86,51,3010.0
86,52,3082.0
86,53,3149.0
86,54,3433.0
86,55,3510.0
86,56,3699.0
86,57,3777.0
86,58,6169.0
86,59,6318.0
86,60,6476.0
86,61,6646.0
86,62,6807.0
86,63,6964.0
86,64,7283.0
86,65,7450.0
86,66,7630.0
86,67,7800.0
86,68,8260.0
86,69,8410.0
86,70,8570.0
86,71,8710.0
86,72,9610.0
86,73,9780.0
86,74,10120.0
86,75,10290.0
86,76,21770.0
86,77,22160.0
86,78,22600.0
86,79,22990.0
86,80,26310.0
86,81,26830.0
86,82,27490.0
86,83,27903.1
86,84,110846.3
86,85,112842.2
87,0,4.0727411
87,1,22.4
87,2,33.5
87,3,39.1
87,4,50.0
87,5,67.0
87,6,80.0
87,7,106.0
87,8,120.0
87,9,179.0
87,10,200.0
87,11,222.1
87,12,245.0
87,13,269.0
87,14,293.0
87,15,324.0
87,16,349.0
87,17,375.0
87,18,400.0
87,19,530.0
87,20,560.0
87,21,590.0
87,22,620.0
87,23,690.0
87,24,720.0
87,25,810.0
87,26,850.0
87,27,910.0
87,28,980.0
87,29,1040.0
87,30,1110.0
87,31,1180.0
87,32,1250.0
87,33,1320.0
87,34,1380.0
87,35,1460.0
87,36,1530.0
87,37,1600.0
87,38,1670.0
87,39,1740.0
87,40,1810.0
87,41,2119.0
87,42,2182.0
87,43,2247.0
87,44,2317.0
87,45,2384.0
87,46,2450.0
87,47,2564.0
87,48,2631.0
87,49,2706.0
87,50,2774.0
87,51,3049.0
87,52,3115.0
87,53,3190.0
87,54,3257.0
87,55,3556.0
87,56,3635.0
