Z,k,Symbole,E_exp_eV,E_pred_eV,m,Delta,Err_percent,Lambda_e,Eps_0,Eps_1,Eps_2,Eps_3,Eps_4,Eps_5,Eps_6,Eps_7,Eps_8,Eps_9,Eps_10,Eps_11,Eps_12,Eps_13,Eps_14,,,Factor_4_Zk
8,3,O,77.4135,77.41273613359992,2,0.8131589929999992,0.0009867353886311464,5.95,1,0,0,1,0,-1,0,0,0,-1,-1,0,0,0,1,,,1024.0
8,4,O,113.899,113.89793031120003,2,1.1964068310000002,0.0009391555676281822,5.95,0,1,-1,-1,0,0,1,-1,0,1,0,0,0,0,0,,,256.0
8,5,O,138.1189,138.119553642,1,5.80334259,0.0004732458772862903,5.95,1,1,0,0,0,0,0,0,0,-1,-1,1,0,0,1,,,64.0
8,6,O,739.32697,739.3546557936,2,7.766330418,0.0037447292907609154,5.95,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,,16.0
8,7,O,871.4099138,871.4124395424001,2,9.153492012000001,0.00028984549751548595,5.95,0,0,1,-1,1,0,0,1,1,0,0,1,0,0,0,,,4.0
9,0,F,17.42282,17.422765750775003,-1,11.712783698,0.0003113687967758089,5.95,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,,,262144.0
9,1,F,34.97081,34.9713707112,0,5.877541296,0.0016033692099271292,5.95,0,1,0,1,0,0,-1,-1,0,0,0,1,0,1,0,,,65536.0
9,2,F,62.70798,62.708095391200004,0,10.539175696000001,0.00018401358169234882,5.95,0,0,0,0,1,0,1,0,-1,0,0,0,1,1,0,,,16384.0
9,3,F,87.175,87.17456883799998,1,3.6627970099999994,0.0004945936335100246,5.95,1,0,0,-1,0,0,0,0,1,1,0,0,1,-1,0,,,4096.0
9,4,F,114.249,114.2492308538,1,4.800387851,0.0002020619874179144,5.95,1,0,1,1,0,0,0,1,0,0,-1,0,1,0,0,,,1024.0
9,5,F,157.16311,157.16344432320003,1,6.603506064,0.0002127237110770613,5.95,1,0,1,1,0,0,0,-1,0,0,1,1,0,0,0,,,256.0
9,6,F,185.1868,185.18704154160002,1,7.780968132000001,0.0001304313266490866,5.95,0,1,0,0,0,0,-1,0,0,-1,1,1,0,1,0,,,64.0
9,7,F,953.8983,953.8683083775999,5,0.15655664199999997,0.003144111107030525,5.95,0,0,1,1,1,0,0,-1,0,1,-1,0,0,0,0,,,16.0
9,8,F,1103.1175302,1103.1232347072003,3,2.8968572340000005,0.0005171259674660888,5.95,0,1,0,0,1,-1,0,0,0,0,0,0,-1,0,1,,,4.0
10,0,Ne,21.564541,21.564370972549998,0,3.6242640289999994,0.0007884584698569578,5.95,1,1,0,0,0,0,1,1,0,0,1,-1,0,0,0,,,1048576.0
