k,beta_precise,a,b,D,error_rel
0,0.06613695904451328,599,-381,910,8.878793266438997e-11
4,1.5041139699699269,-1520,1831,711,5.285014053726617e-11
5,1.7252596926363315,1390,331,1077,9.480919955633194e-11
6,1.831267929898219,-1709,1347,107,8.905401970277384e-11
8,2.092837042770219,1195,74,621,4.255206673950307e-11
9,2.524927313875301,-77,1747,948,3.675915748521111e-11
11,3.851477234958053,1765,514,647,1.681864504290002e-11
