k,D,a,b,err,approx
1,680,-384,407,7.28866258742802e-08,0.2817425292438966
1,794,293,-49,7.362841722224928e-08,0.2817424879643808
1,916,350,-65,7.568061767987671e-08,0.2817424873861887
1,742,-433,454,7.584479496958471e-08,0.28174253007733857
1,804,-482,501,7.834672848919833e-08,0.2817425307822396
1,866,-531,548,8.04904176970519e-08,0.281742531386208
1,928,-580,595,8.234766588601107e-08,0.28174253190947374
1,990,-629,642,8.397228887852486e-08,0.2817425323671991
1,122,57,-16,8.903674221192899e-08,0.28174248362320065
1,244,114,-32,8.903674221192899e-08,0.28174248362320065
1,366,171,-48,8.903674221192899e-08,0.28174248362320065
1,488,228,-64,8.903674221192899e-08,0.28174248362320065
1,610,285,-80,8.903674221192899e-08,0.28174248362320065
1,732,342,-96,8.903674221192899e-08,0.28174248362320065
1,854,399,-112,8.903674221192899e-08,0.28174248362320065
1,976,456,-128,8.903674221192899e-08,0.28174248362320065
1,914,505,-175,1.0242209229507819e-07,0.28174247985197853
1,792,448,-159,1.0448397726793541e-07,0.2817424792710579
1,670,391,-143,1.0729675726557072e-07,0.2817424784785782
1,434,-343,329,1.0828922610260007e-07,0.281742539218314
1,868,-686,658,1.0828922610260007e-07,0.281742539218314
1,310,-245,235,1.0828922629962803e-07,0.28174253921831405
1,620,-490,470,1.0828922629962803e-07,0.28174253921831405
1,806,-637,611,1.0828922629962803e-07,0.28174253921831405
1,186,-147,141,1.0828922649665598e-07,0.2817425392183141
1,372,-294,282,1.0828922649665598e-07,0.2817425392183141
1,558,-441,423,1.0828922649665598e-07,0.2817425392183141
1,744,-588,564,1.0828922649665598e-07,0.2817425392183141
1,62,-49,47,1.0828922669368394e-07,0.28174253921831416
1,124,-98,94,1.0828922669368394e-07,0.28174253921831416
1,248,-196,188,1.0828922669368394e-07,0.28174253921831416
1,496,-392,376,1.0828922669368394e-07,0.28174253921831416
1,682,-539,517,1.0828922669368394e-07,0.28174253921831416
1,548,334,-127,1.1136194291819163e-07,0.2817424773332426
1,974,611,-238,1.1415832349075345e-07,0.2817424765453833
1,426,277,-111,1.1775554528144315e-07,0.281742475531893
1,852,554,-222,1.1775554528144315e-07,0.281742475531893
1,730,497,-206,1.2255512604950996e-07,0.2817424741796471
1,304,220,-95,1.2928085430432558e-07,0.28174247228472354
1,608,440,-190,1.2928085430432558e-07,0.28174247228472354
1,912,660,-285,1.2928085430432558e-07,0.28174247228472354
1,790,603,-269,1.354957676776632e-07,0.28174247053371826
1,486,383,-174,1.3938328573330557e-07,0.28174246943843917
1,972,766,-348,1.3938328573330557e-07,0.28174246943843917
1,684,-694,627,1.4348479408110598e-07,0.2817425491344016
1,668,546,-253,1.4398079955313322e-07,0.2817424681431241
1,850,709,-332,1.4660949554130298e-07,0.2817424674025087
1,622,-645,580,1.4699303351422593e-07,0.2817425501228218
1,560,-596,533,1.512780982306198e-07,0.28174255133010667
1,182,163,-79,1.5625767664829894e-07,0.28174246468420594
1,364,326,-158,1.5625767664829894e-07,0.28174246468420594
1,546,489,-237,1.5625767664829894e-07,0.28174246468420594
2,968,1306,-543,4.3840447857180894e-10,0.555869871520051
