N,Z,A,El,MassExcess_keV,AtomicMass_u,pentad_indices,pentad_octaves,pentad_signs
1,0,1,n,8071.3,1008664.9159,"[11,16,23]","[0,0,0]","[1,1,1]"
2,1,3,H,14949.8,3016049.2813,"[29,34,41]","[0,0,0]","[1,1,1]"
6,2,8,He,31609.6,8033934.388,"[8,13,20]","[0,0,0]","[1,1,1]"
7,2,9,He,40935.8,9043946.414,"[19,24,31]","[0,0,0]","[1,1,1]"
2,94,246,Pu,65394.7,46070204.172,[68],[2],[1]
5,96,251,Cm,76647.9,51082284.988,[43],[2],[1]
