Z,A,El,mass_MeV,estimated
35,78,Br,72583.08781308365,False
36,78,Kr,72582.36170411589,False
37,78,Rb,72589.60455513913,False
38,78,Sr,72593.36603078904,False
39,78,Y,72604.36700408345,True
40,78,Zr,72615.69024639248,True
28,79,Ni,73559.87409296974,True
29,79,Cu,73545.62605232852,False
30,79,Zn,73534.60178236663,False
31,79,Ga,73525.48573396319,False
32,79,Ge,73518.50690562832,False
33,79,As,73514.39800130807,False
34,79,Se,73512.11662321219,False
35,79,Br,73511.96601924571,False
36,79,Kr,73513.59179316243,False
37,79,Rb,73517.23130828953,False
38,79,Sr,73522.55442448721,False
39,79,Y,73530.23115614842,False
40,79,Zr,73541.26377229749,True
41,79,Nb,73556.38378456797,True
28,80,Ni,74496.28834723872,True
29,80,Cu,74482.84875032901,True
30,80,Zn,74467.8795655836,False
31,80,Ga,74460.3045158186,False
32,80,Ge,74449.9928761048,False
33,80,As,74447.3135916732,False
34,80,Se,74441.7687053596,False
35,80,Br,74443.63916414714,False
36,80,Kr,74441.63473787779,False
37,80,Rb,74447.35271442549,False
38,80,Sr,74449.2167179589,False
39,80,Y,74458.38003037311,False
40,80,Zr,74464.76844980103,True
41,80,Nb,74481.10778785158,True
28,81,Ni,75434.9325983889,True
29,81,Cu,75419.1121025534,True
30,81,Zn,75404.82261973957,False
31,81,Ga,75393.39433284063,False
32,81,Ge,75384.73059934343,False
33,81,As,75378.48897407111,False
34,81,Se,75374.63326847779,False
35,81,Br,75373.04523870209,False
36,81,Kr,75373.32609348893,False
37,81,Rb,75375.56559160996,False
38,81,Sr,75379.49415867198,False
39,81,Y,75385.30937388903,False
40,81,Zr,75393.49787772505,False
41,81,Nb,75404.66183454257,True
42,81,Mo,75419.56201420487,True
28,82,Ni,76371.79676430934,True
29,82,Cu,76356.78666834296,True
30,82,Zn,76340.20243117794,False
31,82,Ga,76329.58567125596,False
32,82,Ge,76317.10132154828,False
33,82,As,76312.41096929436,False
34,82,Se,76304.92250190619,False
35,82,Br,76305.01771923334,False
36,82,Kr,76301.92459991685,False
37,82,Rb,76306.32858293883,False
38,82,Sr,76306.50633064347,False
39,82,Y,76314.45229204513,False
40,82,Zr,76318.90232813553,False
41,82,Nb,76330.7066964634,True
42,82,Mo,76342.14637553522,True
29,83,Cu,77293.62009495802,True
30,83,Zn,77277.7204221238,True
31,83,Ga,77264.75337217226,False
32,83,Ge,77253.03405857089,False
33,83,As,77244.34116930829,False
34,83,Se,77238.66995376452,False
35,83,Br,77234.99677444057,False
36,83,Kr,77234.01985137077,False
37,83,Rb,77234.93986015092,False
38,83,Sr,77237.2128827447,False
39,83,Y,77241.80482264669,False
40,83,Zr,77248.09883514734,False
41,83,Nb,77256.39759062532,False
42,83,Mo,77267.67053225281,True
43,83,Tc,77282.69087465432,True
29,84,Cu,78231.78462664546,True
30,84,Zn,78213.6745183062,True
31,84,Ga,78201.41046695375,False
32,84,Ge,78187.35616777091,False
33,84,As,78179.65103485451,False
34,84,Se,78169.55687106881,False
35,84,Br,78167.7215016641,False
36,84,Kr,78163.06525140928,False
37,84,Rb,78165.74562568899,False
38,84,Sr,78164.85501486271,False
39,84,Y,78171.61016351877,False
40,84,Zr,78174.08290776306,False
41,84,Nb,78184.31075958232,False
42,84,Mo,78191.33449524787,True
43,84,Tc,78207.80424247275,True
30,85,Zn,79151.8986656162,True
31,85,Ga,79137.25464683205,False
32,85,Ge,79123.87527101606,False
33,85,As,79113.8095457453,False
34,85,Se,79104.58505279846,False
35,85,Br,79098.42321931093,False
36,85,Kr,79095.51836426748,False
37,85,Rb,79094.83135942213,False
38,85,Sr,79095.89541445026,False
39,85,Y,79099.1565659879,False
40,85,Zr,79103.82350048007,False
41,85,Nb,79110.71901598241,False
42,85,Mo,79119.4889398073,False
43,85,Tc,79131.14870299069,True
44,85,Ru,79146.36838513012,True
30,86,Zn,80088.43121963619,True
31,86,Ga,80074.732667366,True
32,86,Ge,80059.09288138636,False
33,86,As,80049.5306566228,False
34,86,Se,80037.98963099263,False
35,86,Br,80032.86054501648,False
36,86,Kr,80025.22712783102,False
37,86,Rb,80025.74580237713,False
38,86,Sr,80023.96970394216,False
39,86,Y,80029.2097029211,False
40,86,Zr,80030.52378028126,False
41,86,Nb,80039.35874102436,False
42,86,Mo,80044.38187886131,False
43,86,Tc,80056.92250012772,True
44,86,Ru,80068.72266741718,True
31,87,Ga,81011.1171138237,True
32,87,Ge,80996.39671252316,True
33,87,As,80984.36899053941,False
34,87,Se,80973.56077131962,False
35,87,Br,80966.09521868637,False
36,87,Kr,80959.27737116229,False
37,87,Rb,80955.38910053515,False
38,87,Sr,80955.10682987729,False
39,87,Y,80956.96852330533,False
40,87,Zr,80960.63975580661,False
41,87,Nb,80966.11241406751,False
42,87,Mo,80973.1020849937,False
43,87,Tc,80982.29685396377,False
44,87,Ru,80994.25707056989,True
31,88,Ga,81949.09068922012,True
32,88,Ge,81931.96144417072,True
33,88,As,81921.03129237294,True
34,88,Se,81907.59680936584,False
35,88,Br,81900.76504531989,False
36,88,Kr,81891.78970841553,False
37,88,Rb,81888.8720080684,False
38,88,Sr,81883.5593804943,False
39,88,Y,81887.1819796885,False
40,88,Zr,81887.85213380553,False
41,88,Nb,81895.30945203092,False
42,88,Mo,81898.7944509163,False
43,88,Tc,81909.81071002893,False
44,88,Ru,81917.14137300123,True
45,88,Rh,81934.62085983314,True
32,89,Ge,82869.93501956716,True
33,89,As,82856.4451219759,True
34,89,Se,82843.98270895434,False
35,89,Br,82834.70083597077,False
36,89,Kr,82826.43931231207,False
37,89,Rb,82821.26271082174,False
38,89,Sr,82816.7660813963,False
39,89,Y,82815.26390743205,False
40,89,Zr,82818.09713989396,False
41,89,Nb,82822.34935458185,False
42,89,Mo,82827.96016273308,False
43,89,Tc,82835.58025023794,False
44,89,Ru,82844.6056828951,False
45,89,Rh,82857.3244524086,True
32,90,Ge,83805.99903205363,True
33,90,As,83793.47881982301,True
34,90,Se,83778.66899508864,False
35,90,Br,83770.46890346597,False
36,90,Kr,83759.50994987054,False
37,90,Rb,83755.10363811327,False
38,90,Sr,83748.51827288728,False
39,90,Y,83747.97229624902,False
40,90,Zr,83745.69666547174,False
41,90,Nb,83751.80768595597,False
42,90,Mo,83754.29670340221,False
43,90,Tc,83763.74451274518,False
44,90,Ru,83769.58540925465,False
45,90,Rh,83782.83556820876,True
46,90,Pd,83794.75962421384,True
33,91,As,84729.46365531077,True
34,91,Se,84715.3831904586,False
35,91,Br,84704.85601232445,False
36,91,Kr,84694.98933802843,False
37,91,Rb,84688.21827013818,False
38,91,Sr,84682.31136795662,False
39,91,Y,84679.61199119722,False
40,91,Zr,84678.06772301448,False
41,91,Nb,84679.32528662744,False
42,91,Mo,84683.75448519479,False
43,91,Tc,84689.97666087026,False
44,91,Ru,84697.72348746269,False
45,91,Rh,84707.39376554213,True
46,91,Pd,84719.79381503355,True
33,92,As,85667.07767398367,True
34,92,Se,85650.73367846261,True
35,92,Br,85641.22460475253,False
36,92,Kr,85628.68809137511,False
37,92,Rb,85622.68496585276,False
38,92,Sr,85614.59004922921,False
39,92,Y,85612.64092576472,False
40,92,Zr,85608.99839259674,False
41,92,Nb,85611.00413227276,False
42,92,Mo,85610.6488324773,False
43,92,Tc,85618.5317130983,False
44,92,Ru,85623.15620871919,False
45,92,Rh,85634.45832474195,False
46,92,Pd,85642.67832239359,False
47,92,Ag,85659.9275252535,True
34,93,Se,86588.09153625734,True
35,93,Br,86576.06128992459,False
36,93,Kr,86564.81551998007,False
37,93,Rb,86556.33162073429,False
38,93,Sr,86548.86567687351,False
39,93,Y,86544.72436587345,False
40,93,Zr,86541.82949644676,False
41,93,Nb,86541.73868508672,False
42,93,Mo,86542.14444391773,False
43,93,Tc,86545.34540230647,False
44,93,Ru,86551.7347998032,False
45,93,Rh,86559.93970725036,False
46,93,Pd,86569.9697097223,False
47,93,Ag,86582.55194083025,True
34,94,Se,87523.64229549338,True
35,94,Br,87512.79597816481,True
36,94,Kr,87499.09784506696,False
37,94,Rb,87491.8828270875,False
38,94,Sr,87481.59990533689,False
39,94,Y,87478.0941527629,False
40,94,Zr,87473.17629238941,False
41,94,Nb,87474.07656280951,False
42,94,Mo,87472.03154202718,False
43,94,Tc,87476.28728707772,False
44,94,Ru,87477.86202443257,False
45,94,Rh,87487.53800325593,False
46,94,Pd,87494.34334081422,False
47,94,Ag,87508.04349525426,True
48,94,Cd,87520.00574251753,True
34,95,Se,88461.47987275086,True
35,95,Br,88448.08964502857,True
36,95,Kr,88435.78080743967,False
37,95,Rb,88426.04941403217,False
38,95,Sr,88416.82244331099,False
39,95,Y,88410.73178528785,False
40,95,Zr,88406.27978374486,False
41,95,Nb,88405.15345833598,False
42,95,Mo,88404.2278512763,False
43,95,Tc,88405.91837334807,False
44,95,Ru,88408.48196621216,False
45,95,Rh,88413.59911043392,False
46,95,Pd,88421.97381062608,False
47,95,Ag,88432.03348118516,True
48,95,Cd,88444.88344232805,True
35,96,Br,89385.22394423872,True
36,96,Kr,89370.35214720172,False
37,96,Rb,89362.0794735586,False
38,96,Sr,89350.51557974823,False
39,96,Y,89345.10384120162,False
40,96,Zr,89337.99496697514,False
41,96,Nb,89337.83099606828,False
42,96,Mo,89334.63894276317,False
43,96,Tc,89337.61217878868,False
44,96,Ru,89337.3534469868,False
45,96,Rh,89343.74609539795,False
46,96,Pd,89347.25040415608,False
47,96,Ag,89358.9221836134,False
48,96,Cd,89367.86182566373,True
49,96,In,89385.34410697794,True
35,97,Br,90320.92746850757,True
36,97,Kr,90307.504433563,False
37,97,Rb,90296.40878320801,False
38,97,Sr,90286.34725897567,False
39,97,Y,90278.81247770072,False
40,97,Zr,90271.9912395381,False
41,97,Nb,90269.32513574806,False
42,97,Mo,90267.38323136287,False
43,97,Tc,90267.70349766513,False
44,97,Ru,90268.80736475122,False
45,97,Rh,90272.33036859598,False
46,97,Pd,90277.12207672317,False
47,97,Ag,90284.02390775553,False
48,97,Cd,90294.19390447611,False
49,97,In,90307.53817227938,True
35,98,Br,91258.37195525382,True
36,98,Kr,91242.30181899888,True
37,98,Rb,91232.05287815312,False
38,98,Sr,91219.99964254592,False
39,98,Y,91214.13328830265,False
40,98,Zr,91205.14027164022,False
41,98,Nb,91202.89742014043,False
42,98,Mo,91198.30604844984,False
43,98,Tc,91199.98981718937,False
44,98,Ru,91198.19715678926,False
45,98,Rh,91203.2468142633,False
46,98,Pd,91205.10104642357,False
47,98,Ag,91213.35561182136,False
48,98,Cd,91218.78560765236,False
49,98,In,91232.51554195884,True
36,99,Kr,92179.51622670183,True
37,99,Rb,92166.79498872897,False
38,99,Sr,92155.39760880433,False
39,99,Y,92147.27239999258,False
40,99,Zr,92140.29946801538,False
41,99,Nb,92135.58078902581,False
42,99,Mo,92131.94602451865,False
43,99,Tc,92130.58826940002,False
44,99,Ru,92130.2907501837,False
45,99,Rh,92132.33161650234,False
46,99,Pd,92135.73327461038,False
47,99,Ag,92141.20365071071,False
48,99,Cd,92147.98500229587,False
49,99,In,92156.53999317155,True
50,99,Sn,92169.93953583486,True
36,100,Kr,93114.94030273995,True
37,100,Rb,93103.14435511877,False
38,100,Sr,93089.5927367283,False
39,100,Y,93082.08899283684,False
40,100,Zr,93073.03749697469,False
41,100,Nb,93069.61898813833,False
42,100,Mo,93063.217211085,False
43,100,Tc,93063.38928599052,False
44,100,Ru,93060.18285041646,False
45,100,Rh,93063.8191053142,False
46,100,Pd,93064.19756205309,False
47,100,Ag,93071.2722690759,False
48,100,Cd,93075.2156375792,False
49,100,In,93085.23208681194,False
50,100,Sn,93092.26209143277,False
36,101,Kr,94052.32424236955,True
37,101,Rb,94038.33692692762,False
38,101,Sr,94025.57942588934,False
39,101,Y,94015.84955081722,False
40,101,Zr,94007.74335380008,False
41,101,Nb,94002.0128486567,False
42,101,Mo,93997.38438487094,False
43,101,Tc,93994.55975009958,False
44,101,Ru,93992.9462253303,False
45,101,Rh,93993.4919132054,False
46,101,Pd,93995.47219514761,False
47,101,Ag,93999.56995879838,False
48,101,Cd,94005.0678698644,False
49,101,In,94012.3594380292,False
50,101,Sn,94020.59871760875,False
37,102,Rb,94975.14613469601,False
38,102,Sr,94960.23912718194,False
39,102,Y,94951.2258039481,False
40,102,Zr,94940.81701871438,False
41,102,Nb,94936.10017476819,False
42,102,Mo,94928.83757606996,False
43,102,Tc,94927.82551704263,False
44,102,Ru,94923.29200976568,False
45,102,Rh,94925.61512811229,False
46,102,Pd,94924.49548151612,False
47,102,Ag,94930.15173726459,False
48,102,Cd,94932.7387385755,False
49,102,In,94941.70354959647,False
50,102,Sn,94947.46354584313,False
51,102,Sb,94961.29854336944,True
37,103,Rb,95910.73229070795,True
38,103,Sr,95896.61270310346,True
39,103,Y,95885.43550975478,False
40,103,Zr,95876.08355115494,False
41,103,Nb,95868.86387570496,False
42,103,Mo,95862.93821323219,False
43,103,Tc,95859.28862865383,False
44,103,Ru,95856.62537523573,False
45,103,Rh,95855.86084213622,False
46,103,Pd,95856.43556468247,False
47,103,Ag,95859.08983849744,False
48,103,Cd,95863.24092087064,False
49,103,In,95869.260151926,False
50,103,Sn,95876.79982354499,True
51,103,Sb,95887.22231105696,True
37,104,Rb,96847.93645197578,True
38,104,Sr,96831.62692173652,True
39,104,Y,96821.3068985758,True
40,104,Zr,96809.66898824404,False
41,104,Nb,96803.57564751788,False
42,104,Mo,96795.04290072137,False
43,104,Tc,96792.88767487177,False
44,104,Ru,96787.2908857068,False
45,104,Rh,96788.4272991968,False
46,104,Pd,96785.99152595346,False
47,104,Ag,96790.27017644398,False
48,104,Cd,96791.41825224015,False
49,104,In,96799.20396871136,False
50,104,Sn,96803.7595896583,False
51,104,Sb,96816.09146309635,True
52,104,Te,96825.75981298301,False
38,105,Sr,97768.69042739487,True
39,105,Y,97756.31087077373,True
40,105,Zr,97745.42247785653,False
41,105,Nb,97736.96520071219,False
42,105,Mo,97729.54995807541,False
43,105,Tc,97724.5944467103,False
44,105,Ru,97720.94620348347,False
45,105,Rh,97719.02947738387,False
46,105,Pd,97718.46284020643,False
47,105,Ag,97719.80990177275,False
48,105,Cd,97722.54690157894,False
49,105,In,97727.2401694094,False
50,105,Sn,97733.5427516558,False
51,105,Sb,97742.86525641211,False
52,105,Te,97754.06923953119,False
38,106,Sr,98704.07444918659,True
39,106,Y,98692.58446943323,True
40,106,Zr,98679.62552348037,True
41,106,Nb,98672.17217341985,False
42,106,Mo,98662.24685225518,False
43,106,Tc,98658.5985997134,False
44,106,Ru,98652.05160272948,False
45,106,Rh,98652.012191214,False
46,106,Pd,98648.46730657277,False
47,106,Ag,98651.43244791453,False
48,106,Cd,98651.24270256587,False
49,106,In,98657.7667009604,False
50,106,Sn,98661.02115505544,False
51,106,Sb,98671.90154643828,False
52,106,Te,98680.15509650747,False
53,106,I,98695.07528466311,True
38,107,Sr,99641.6186058018,True
39,107,Y,99627.89862916726,True
40,107,Zr,99615.84882145836,True
41,107,Nb,99606.14514931533,False
42,107,Mo,99597.32398399989,False
43,107,Tc,99591.11898507568,False
44,107,Ru,99586.00638654512,False
45,107,Rh,99583.00524295631,False
46,107,Pd,99581.49629702991,False
47,107,Ag,99581.46225092046,False
48,107,Cd,99582.87862496298,False
49,107,In,99586.3022849617,False
50,107,Sn,99591.35671168556,False
51,107,Sb,99599.2157087978,False
52,107,Te,99609.21192597861,True
53,107,I,99620.43922439507,True
39,108,Y,100564.58301672594,True
40,108,Zr,100550.41312843993,True
41,108,Nb,100541.81785975926,False
42,108,Mo,100530.61375554594,False
43,108,Tc,100525.44022798615,False
44,108,Ru,100517.70165443148,False
45,108,Rh,100516.33190166882,False
46,108,Pd,100511.8388398658,False
47,108,Ag,100513.75626458597,False
48,108,Cd,100512.110631215,False
49,108,In,100517.24322892394,False
50,108,Sn,100519.29311210547,False
51,108,Sb,100528.91771902908,False
52,108,Te,100535.58137633438,False
53,108,I,100548.59205746971,True
54,108,Xe,100558.7307000988,False
39,109,Y,101500.37689592272,True
40,109,Zr,101487.1273238099,True
41,109,Nb,101476.16736420082,False
42,109,Mo,101466.1978715858,False
43,109,Tc,101458.57432823782,False
44,109,Ru,101452.11870151042,False
45,109,Rh,101447.85790776182,False
46,109,Pd,101445.25067439902,False
47,109,Ag,101444.13772524545,False
48,109,Cd,101444.35282586359,False
49,109,In,101446.36762897724,False
50,109,Sn,101450.22697671251,False
51,109,Sb,101456.60617434882,False
52,109,Te,101465.14176220234,False
53,109,I,101475.18465655265,False
54,109,Xe,101486.68761201885,False
40,110,Zr,102422.1312960078,True
41,110,Nb,102412.0413518904,False
42,110,Mo,102399.81544522144,False
43,110,Tc,102393.31669963202,False
44,110,Ru,102384.27863591483,False
45,110,Rh,102381.52256842433,False
46,110,Pd,102376.02035385558,False
47,110,Ag,102376.89395559955,False
48,110,Cd,102374.0032965262,False
49,110,In,102377.8812927734,False
50,110,Sn,102378.50926883749,False
51,110,Sb,102386.90151837852,False
52,110,Te,102392.12144365956,False
53,110,I,102403.88341969081,False
54,110,Xe,102412.42862056349,False
40,111,Zr,103359.36526508692,True
41,111,Nb,103346.8851071027,True
42,111,Mo,103335.9055488577,False
43,111,Tc,103326.8206868768,False
44,111,Ru,103319.06003691192,False
45,111,Rh,103313.54149325153,False
46,111,Pd,103309.85947404854,False
47,111,Ag,103307.62991496957,False
48,111,Cd,103306.59311545888,False
49,111,In,103307.4533130027,False
50,111,Sn,103309.906784634,False
51,111,Sb,103315.00861509272,False
52,111,Te,103322.2578747954,False
53,111,I,103330.8915676078,False
54,111,Xe,103341.32501880535,True
55,111,Cs,103352.94540773304,True
40,112,Zr,104294.91975029938,True
41,112,Nb,104283.26955356041,True
42,112,Mo,104269.85976446197,True
43,112,Tc,104262.08053118973,False
44,112,Ru,104251.70859586268,False
45,112,Rh,104247.60841032723,False
46,112,Pd,104241.01842489048,False
47,112,Ag,104240.75573423867,False
48,112,Cd,104236.76460803274,False
49,112,In,104239.349336498,False
50,112,Sn,104238.68441737782,False
51,112,Sb,104245.74049451861,False
52,112,Te,104249.77194510424,False
53,112,I,104260.27612464898,False
54,112,Xe,104267.3131154756,False
55,112,Cs,104280.92498290462,True
40,113,Zr,105232.49371472586,True
41,113,Nb,105218.62376754083,True
42,113,Mo,105206.18366380302,True
43,113,Tc,105196.02202258454,False
44,113,Ru,105186.96574815763,False
45,113,Rh,105180.06662777312,False
46,113,Pd,105175.24307186257,False
47,113,Ag,105171.80674354403,False
48,113,Cd,105169.79028237087,False
49,113,In,105169.46644844617,False
50,113,Sn,105170.505436968,False
51,113,Sb,105174.4166037202,False
52,113,Te,105180.48653599956,False
53,113,I,105187.71405462988,False
54,113,Xe,105196.6299435806,False
55,113,Cs,105207.06903031748,False
56,113,Ba,105219.12397987384,True
41,114,Nb,106155.36777072208,True
42,114,Mo,106140.64736942152,True
43,114,Tc,106131.72738189675,False
44,114,Ru,106120.10646201743,False
45,114,Rh,106114.61740014539,False
46,114,Pd,106106.83732852846,False
47,114,Ag,106105.39685673354,False
48,114,Cd,106100.3127339777,False
49,114,In,106101.75786324314,False
50,114,Sn,106099.76794033695,False
51,114,Sb,106105.8310540795,False
52,114,Te,106108.43799867912,False
53,114,I,106117.68874112978,False
54,114,Xe,106123.24176870182,False
55,114,Cs,106135.64174367371,False
56,114,Ba,106144.4222306417,False
41,115,Nb,107090.94181731067,True
42,115,Mo,107077.27214135767,True
43,115,Tc,107066.02528156505,True
44,115,Ru,107055.71647359333,False
45,115,Rh,107047.59254092847,False
46,115,Pd,107041.39595339602,False
47,115,Ag,107036.83918671131,False
48,115,Cd,107033.73729272038,False
49,115,In,107032.28541943764,False
50,115,Sn,107031.78792706742,False
51,115,Sb,107034.81836614577,False
52,115,Te,107039.759010865,False
53,115,I,107045.48397361848,False
54,115,Xe,107053.16501809738,False
55,115,Cs,107062.1223212759,True
56,115,Ba,107072.9015710291,True
41,116,Nb,108028.08543146185,True
42,116,Mo,108012.10565013484,True
43,116,Tc,108002.10233496895,True
44,116,Ru,107989.24696184532,False
45,116,Rh,107982.58013746007,False
46,116,Pd,107973.48485206017,False
47,116,Ag,107970.77320752344,False
48,116,Cd,107964.60339113147,False
49,116,In,107965.06612014178,False
50,116,Sn,107961.78989702958,False
51,116,Sb,107966.49385841233,False
52,116,Te,107968.05208037674,False
53,116,I,107975.89522345936,False
54,116,Xe,107980.26899812762,False
55,116,Cs,107991.27371602831,True
56,116,Ba,107998.93618651482,True
57,116,La,108013.26629178645,True
42,117,Mo,108949.12071809988,True
43,117,Tc,108936.67036792693,True
44,117,Ru,108925.32011228894,False
45,117,Rh,108915.91322348191,False
46,117,Pd,108908.38608977353,False
47,117,Ag,108902.62805897942,False
48,117,Cd,108898.39157722691,False
49,117,In,108895.86693944618,False
50,117,Sn,108894.41223442137,False
51,117,Sb,108896.17041090982,False
52,117,Te,108899.71447583623,False
53,117,I,108904.37140608174,False
54,117,Xe,108910.62462845564,False
55,117,Cs,108918.3168788086,False
56,117,Ba,108927.35207352397,False
57,117,La,108938.53894509638,True
42,118,Mo,109883.9337340068,True
43,118,Tc,109873.01382864412,True
44,118,Ru,109859.30409844471,True
45,118,Rh,109851.41724034387,False
46,118,Pd,109840.91572487225,False
47,118,Ag,109836.75027886,False
48,118,Cd,109829.60243092025,False
49,118,In,109829.07590387885,False
50,118,Sn,109824.65124168777,False
51,118,Sb,109828.30787767647,False
52,118,Te,109828.61332390759,False
53,118,I,109835.33302921303,False
54,118,Xe,109838.225011008,False
55,118,Cs,109847.89470224617,False
56,118,Ba,109854.104498365,True
57,118,La,109866.6843262182,True
42,119,Mo,110821.21800376744,True
43,119,Tc,110807.62843630723,True
44,119,Ru,110795.7183527137,True
45,119,Rh,110784.97538465579,False
46,119,Pd,110776.39090267681,False
47,119,Ag,110769.15242036092,False
48,119,Cd,110763.82124673923,False
49,119,In,110760.09952725761,False
50,119,Sn,110757.73319689959,False
51,119,Sb,110758.3226463676,False
52,119,Te,110760.61564019493,False
53,119,I,110764.02045606797,False
54,119,Xe,110769.00369801252,False
55,119,Cs,110775.49311934596,False
56,119,Ba,110783.20808884008,False
57,119,La,110792.77855732646,True
58,119,Ce,110803.97791091986,True
43,120,Tc,111744.29233099567,True
44,120,Ru,111729.57192969513,True
45,120,Rh,111720.6724350406,True
46,120,Pd,111709.01268117214,False
47,120,Ag,111703.64077331338,False
48,120,Cd,111695.33491985033,False
49,120,In,111693.56454078916,False
50,120,Sn,111688.19454249328,False
51,120,Sb,111690.87514964651,False
52,120,Te,111689.93012093479,False
53,120,I,111695.54512080947,False
54,120,Xe,111697.11984884938,False
55,120,Cs,111705.40363521714,False
56,120,Ba,111710.40363474058,False
57,120,La,111721.72222889404,True
58,120,Ce,111729.5626147541,True
43,121,Tc,112679.24600251205,True
44,121,Ru,112666.16596232589,True
45,121,Rh,112654.53625845716,False
46,121,Pd,112644.60405355105,False
47,121,Ag,112636.38355289261,False
48,121,Cd,112629.71255541377,False
49,121,In,112624.95179152065,False
50,121,Sn,112621.58975917174,False
51,121,Sb,112621.18723262525,False
52,121,Te,112622.24327680412,False
53,121,I,112624.54074180314,False
54,121,Xe,112628.30539384796,False
55,121,Cs,112633.68404572405,False
56,121,Ba,112640.04153954775,False
57,121,La,112648.59612056603,True
58,121,Ce,112658.0964289166,True
59,121,Pr,112669.23523539335,True
43,122,Tc,113615.97510178766,True
44,122,Ru,113600.50019026415,True
45,122,Rh,113590.40093120572,True
46,122,Pd,113577.66432358016,False
47,122,Ag,113571.17437129507,False
48,122,Cd,113561.66811069718,False
49,122,In,113558.70912653142,False
50,122,Sn,113552.34053861295,False
51,122,Sb,113553.94628540645,False
52,122,Te,113551.96720509164,False
53,122,I,113556.20120906984,False
54,122,Xe,113556.92550162412,False
55,122,Cs,113564.13572240896,False
56,122,Ba,113567.67154361257,False
57,122,La,113577.73726888333,True
58,122,Ce,113584.40676665664,True
59,122,Pr,113597.50077925436,True
44,123,Ru,114537.22463206925,True
45,123,Rh,114524.5842570994,True
46,123,Pd,114513.3448492596,False
47,123,Ag,114504.2060165104,False
48,123,Cd,114496.36041428336,False
49,123,In,114490.34556125029,False
50,123,Sn,114485.95991003221,False
51,123,Sb,114484.551705193,False
52,123,Te,114484.60361735932,False
53,123,I,114485.83200657701,False
54,123,Xe,114488.52633463837,False
55,123,Cs,114492.73094066269,False
56,123,Ba,114498.1196340452,False
57,123,La,114505.12348231164,True
58,123,Ce,114513.48829935137,True
59,123,Pr,114523.54470968111,True
44,124,Ru,115471.67902274673,True
45,124,Rh,115460.55884615204,True
46,124,Pd,115446.86867732878,True
47,124,Ag,115439.03874283255,False
48,124,Cd,115428.56926144309,False
49,124,In,115424.40091848419,False
50,124,Sn,115417.03721541607,False
51,124,Sb,115417.64962621371,False
52,124,Te,115414.74455692663,False
53,124,I,115417.90413834732,False
54,124,Xe,115417.60129098475,False
55,124,Cs,115423.5276334482,False
56,124,Ba,115426.17890785217,False
57,124,La,115435.01007741426,False
58,124,Ce,115440.35287608235,True
59,124,Pr,115452.11764659591,True
60,124,Nd,115460.43868341284,True
44,125,Ru,116408.39321811669,True
45,125,Rh,116394.93312833674,True
46,125,Pd,116382.80321213501,True
47,125,Ag,116372.24286349588,False
48,125,Cd,116363.41471197468,False
49,125,In,116356.35049357543,False
50,125,Sn,116350.86914447456,False
51,125,Sb,116348.50770446059,False
52,125,Te,116347.74100097982,False
53,125,I,116347.9267781636,False
54,125,Xe,116349.56344124638,False
55,125,Cs,116352.67305732344,False
56,125,Ba,116357.09382586917,False
57,125,La,116363.0033082894,False
58,125,Ce,116370.10508453082,True
59,125,Pr,116378.69252866103,True
60,125,Nd,116388.69304934461,True
45,126,Rh,117331.05675644576,True
46,126,Pd,117316.46676431954,True
47,126,Ag,117307.53653035965,True
48,126,Cd,117296.00117752858,False
49,126,In,117290.44752585547,False
50,126,Sn,117282.24176143373,False
51,126,Sb,117281.86376112697,False
52,126,Te,117278.19273355439,False
53,126,I,117280.34640380883,False
54,126,Xe,117279.11051606362,False
55,126,Cs,117283.9062203005,False
56,126,Ba,117285.58698962904,False
57,126,La,117293.28342239052,False
58,126,Ce,117297.4363398071,False
59,126,Pr,117307.93334684728,True
60,126,Nd,117314.87670388672,True
61,126,Pm,117328.50725708743,True
45,127,Rh,118266.02067439727,True
46,127,Pd,118252.53077680603,True
47,127,Ag,118241.10134416934,True
48,127,Cd,118231.009807197,False
49,127,In,118222.87111035064,False
50,127,Sn,118216.28142299199,False
51,127,Sb,118213.052706079,False
52,127,Te,118211.4705074564,False
53,127,I,118210.76778830554,False
54,127,Xe,118211.43011787212,False
55,127,Cs,118213.51097323258,False
56,127,Ba,118216.93304969135,False
57,127,La,118221.85488754464,False
58,127,Ce,118227.77166356369,False
59,127,Pr,118235.20778098333,True
60,127,Nd,118243.84086832454,True
61,127,Pm,118254.44127121009,True
45,128,Rh,119203.90482635987,True
46,128,Pd,119186.85475830917,True
47,128,Ag,119176.53473514847,True
48,128,Cd,119164.00685672136,False
49,128,In,119157.05498582583,False
50,128,Sn,119147.88367187728,False
51,128,Sb,119146.61525635803,False
52,128,Te,119142.25130895255,False
53,128,I,119143.5070747819,False
54,128,Xe,119141.38457232012,False
55,128,Cs,119145.3133349959,False
56,128,Ba,119145.87594811882,False
57,128,La,119152.61966734222,False
58,128,Ce,119155.71118448886,False
59,128,Pr,119164.91434622077,False
60,128,Nd,119170.71475999654,True
61,128,Pm,119183.02538605413,True
62,128,Sm,119192.09534412938,True
46,129,Pd,120124.859073011,True
47,129,Ag,120110.86896308673,True
48,129,Cd,120099.61706391104,False
49,129,In,120089.90431901545,False
50,129,Sn,120082.14861528423,False
51,129,Sb,120078.10982452508,False
52,129,Te,120075.73431895014,False
53,129,I,120074.2320332066,False
