Z,A,El,mass_MeV,estimated
10,30,Ne,27968.10318745132,False
11,30,Na,27953.297740739228,False
12,30,Mg,27935.94169550577,False
13,30,Al,27928.958954895683,False
14,30,Si,27920.390103387756,False
15,30,P,27924.622216432927,False
16,30,S,27930.76381786853,False
17,30,Cl,27949.497617398996,False
18,30,Ar,27966.89389386274,True
9,31,F,28933.159739631974,True
10,31,Ne,28907.49876311463,False
11,31,Na,28888.56320196158,False
12,31,Mg,28873.195021032334,False
13,31,Al,28861.366461802634,False
14,31,Si,28853.36813180256,False
15,31,P,28851.87662344576,False
16,31,S,28857.274641084226,False
17,31,Cl,28869.282615392993,False
18,31,Ar,28887.64228031722,True
19,31,K,28910.57752810701,True
10,32,Ne,29844.810223188124,True
11,32,Na,29826.45142455341,False
12,32,Mg,29806.982368783076,False
13,32,Al,29796.711901108618,False
14,32,Si,29783.73358007842,False
15,32,P,29783.50639798178,False
16,32,S,29781.795737007513,False
17,32,Cl,29794.476566766218,False
18,32,Ar,29805.610920701147,False
19,32,K,29829.801058715828,True
10,33,Ne,30785.435762294146,True
11,33,Na,30763.085492800677,False
12,33,Mg,30744.26825002852,False
13,33,Al,30730.80799257961,False
14,33,Si,30718.79104798264,False
15,33,P,30712.968026845003,False
16,33,S,30712.719513533422,False
17,33,Cl,30718.30203220875,False
18,33,Ar,30729.921079784934,False
19,33,K,30746.845824619086,True
20,33,Ca,30770.335311399816,True
10,34,Ne,31723.64127972208,True
11,34,Na,31702.479596703306,False
12,34,Mg,31679.122801257472,False
13,34,Al,31667.801859738887,False
14,34,Si,31650.80779311362,False
15,34,P,31646.25077492553,False
16,34,S,31640.86779160188,False
17,34,Cl,31646.35939645281,False
18,34,Ar,31652.421187473727,False
19,34,K,31669.579225005833,True
20,34,Ca,31685.689415507182,True
11,35,Na,32640.125286175684,True
12,35,Mg,32617.93337067963,False
13,35,Al,32602.06984913154,False
14,35,Si,32587.902103281962,False
15,35,P,32577.43577034258,False
16,35,S,32573.447373414372,False
17,35,Cl,32573.280049128753,False
18,35,Ar,32579.246287484635,False
19,35,K,32591.12068553911,False
20,35,Ca,32607.483869838685,True
21,35,Sc,32629.393542621707,True
11,36,Na,33579.69078499315,True
12,36,Mg,33554.167846586846,False
13,36,Al,33539.738071446256,False
14,36,Si,33521.351560862,False
15,36,P,33513.53664205069,False
16,36,S,33503.12354399926,False
17,36,Cl,33504.26567686307,False
18,36,Ar,33503.55613917537,False
19,36,K,33516.37049861366,False
20,36,Ca,33527.3365129344,False
21,36,Sc,33549.93793186776,True
11,37,Na,34518.41607613024,True
12,37,Mg,34493.49326211435,False
13,37,Al,34475.091353932585,False
14,37,Si,34458.7102756313,False
15,37,P,34446.2857744197,False
16,37,S,34438.38536307967,False
17,37,Cl,34433.52023458732,False
18,37,Ar,34434.334108929426,False
19,37,K,34440.481588092814,False
20,37,Ca,34452.14571066862,False
21,37,Sc,34469.06179260762,True
22,37,Ti,34490.45169168149,True
11,38,Na,35458.68112701862,True
12,38,Mg,35430.849946226524,True
13,38,Al,35413.24563918489,True
14,38,Si,35392.60559286347,False
15,38,P,35382.15432218372,False
16,38,S,35369.91467597674,False
17,38,Cl,35366.97776822122,False
18,38,Ar,35362.06106290042,False
19,38,K,35367.975128271624,False
20,38,Ca,35374.7173850493,False
21,38,Sc,35392.52641586476,True
22,38,Ti,35408.14570897414,True
11,39,Na,36398.246625836095,True
12,39,Mg,36371.045135057226,True
13,39,Al,36349.75956332283,True
14,39,Si,36330.59034618913,False
15,39,P,36315.49535385024,False
16,39,S,36305.107322305106,False
17,39,Cl,36298.46977477949,False
18,39,Ar,36295.02779229176,False
19,39,K,36294.462794543935,False
20,39,Ca,36300.98728663034,False
21,39,Sc,36314.09726503698,False
22,39,Ti,36330.770124550894,True
23,39,V,36350.84009648164,True
12,40,Mg,37309.31399408413,True
13,40,Al,37288.58452432888,True
14,40,Si,37265.43097158125,False
15,40,P,37251.62490626175,False
16,40,S,37236.92624603357,False
17,40,Cl,37232.20627226719,False
18,40,Ar,37224.72419492856,False
19,40,K,37226.228595163724,False
20,40,Ca,37224.917694198455,False
21,40,Sc,37239.24073874479,False
22,40,Ti,37250.77065165031,False
23,40,V,37272.2340083491,True
12,41,Mg,38249.35828087024,True
13,41,Al,38225.84830121927,True
14,41,Si,38204.45840214539,True
15,41,P,38186.27843174846,False
16,41,S,38172.24961824426,False
17,41,Cl,38163.951002490394,False
18,41,Ar,38158.190689535724,False
19,41,K,38155.69864473364,False
20,41,Ca,38156.1202855391,False
21,41,Sc,38162.615836103745,False
22,41,Ti,38175.56066060602,False
23,41,V,38191.5683867561,True
24,41,Cr,38211.66816649813,True
13,42,Al,39164.742192788886,True
14,42,Si,39139.59185202355,True
15,42,P,39123.84414313721,False
16,42,S,39105.11455396009,False
17,42,Cl,39097.920531857686,False
18,42,Ar,39088.32961707576,False
19,42,K,39087.730265825434,False
20,42,Ca,39084.205007764955,False
21,42,Sc,39090.63129242814,False
22,42,Ti,39097.64793942355,False
23,42,V,39115.132679882205,True
24,42,Cr,39129.81209544224,True
13,43,Al,40102.5164284474,True
14,43,Si,40078.57609852111,True
15,43,P,40059.286718648196,True
16,43,S,40042.050938618304,False
17,43,Cl,40030.0868935714,False
18,43,Ar,40022.23658729914,False
19,43,K,40017.67100868025,False
20,43,Ca,40015.83753020857,False
21,43,Sc,40018.05824940851,False
22,43,Ti,40024.93081289616,False
23,43,V,40036.330046494055,False
24,43,Cr,40052.27629403338,True
25,43,Mn,40071.615974587825,True
14,44,Si,41015.050899906746,True
15,44,P,40996.850436639565,True
16,44,S,40976.536264214934,False
17,44,Cl,40965.26152480383,False
18,44,Ar,40953.06724235964,False
19,44,K,40949.959004893855,False
20,44,Ca,40944.27176765153,False
21,44,Sc,40947.924463420175,False
22,44,Ti,40948.191914006864,False
23,44,V,40961.93242077142,False
24,44,Cr,40972.31860795823,False
25,44,Mn,40993.200842746286,True
14,45,Si,41954.324841070156,True
15,45,P,41933.194828850865,True
16,45,S,41913.894271048724,True
17,45,Cl,41898.97206155089,False
18,45,Ar,41887.46380588324,False
19,45,K,41880.61896366008,False
20,45,Ca,41876.42237779998,False
21,45,Sc,41876.1622860167,False
22,45,Ti,41878.22433451123,False
23,45,V,41885.34815921807,False
24,45,Cr,41897.719807454305,False
25,45,Mn,41912.25484142846,True
26,45,Fe,41931.642028182134,True
15,46,P,42871.56894671134,True
16,46,S,42849.36864776836,True
17,46,Cl,42834.99375626029,False
18,46,Ar,42818.95745187114,False
19,46,K,42813.314777306674,False
20,46,Ca,42805.58909563038,False
21,46,Sc,42806.967064171025,False
22,46,Ti,42804.600435734894,False
23,46,V,42811.65280552914,False
24,46,Cr,42819.25713215377,False
25,46,Mn,42836.310963440636,False
26,46,Fe,42849.938722159044,True
15,47,P,43809.032994833746,True
16,47,S,43787.42326315171,True
17,47,Cl,43770.642396896605,True
18,47,Ar,43754.855537313146,False
19,47,K,43744.51082955872,False
20,47,Ca,43737.878144432325,False
21,47,Sc,43735.885967310416,False
22,47,Ti,43735.28520018906,False
23,47,V,43738.21573652492,False
24,47,Cr,43745.659715754766,False
25,47,Mn,43757.65643761477,False
26,47,Fe,43773.093157880074,True
27,47,Co,43790.84277800169,True
16,48,S,44724.10671921629,True
17,48,Cl,44707.436700759376,True
18,48,Ar,44689.36198919602,False
19,48,K,44679.43242973316,False
20,48,Ca,44667.49204463647,False
21,48,Sc,44667.21282927926,False
22,48,Ti,44663.22395728906,False
23,48,V,44667.23891111413,False
24,48,Cr,44668.89560132011,False
25,48,Mn,44682.4202715862,False
26,48,Fe,44693.70834067791,False
27,48,Co,44713.44670070819,True
28,48,Ni,44729.89502356872,True
16,49,S,45663.60235597607,True
17,49,Cl,45643.95062489732,True
18,49,Ar,45626.15070409418,True
19,49,K,45613.59951968464,False
20,49,Ca,45601.91101059324,False
21,49,Sc,45596.648562606446,False
22,49,Ti,45594.64700533893,False
23,49,V,45595.24885299344,False
24,49,Cr,45597.87866577328,False
25,49,Mn,45605.5910922885,False
26,49,Fe,45618.4602887846,False
27,49,Co,45633.43126199869,True
28,49,Ni,45651.740710075865,True
17,50,Cl,46582.404851250605,True
18,50,Ar,46561.47511026332,True
19,50,K,46548.97726320609,False
20,50,Ca,46535.11588576681,False
21,50,Sc,46530.16799402346,False
22,50,Ti,46523.27325166122,False
23,50,V,46525.48188006771,False
24,50,Cr,46524.44374852044,False
25,50,Mn,46532.07822760917,False
26,50,Fe,46540.22866128123,False
27,50,Co,46557.115717864,False
28,50,Ni,46571.24555190361,True
17,51,Cl,47520.48927444522,True
18,51,Ar,47499.70950400844,True
19,51,K,47483.68376276241,False
20,51,Ca,47469.86691074121,False
21,51,Sc,47462.94886239654,False
22,51,Ti,47456.466250284975,False
23,51,V,47453.99611422418,False
24,51,Cr,47454.74850064059,False
25,51,Mn,47457.95599811792,False
26,51,Fe,47466.010031465325,False
27,51,Co,47478.857077031666,False
28,51,Ni,47494.54902668103,True
17,52,Cl,48460.052910274484,True
18,52,Ar,48436.313783074314,True
