N-Z,N,Z,A,El,o,MassExcess_keV,Error_keV,BindingPerA_keV,Error_BindingPerA_keV,BetaDecay_keV,Error_BetaDecay_keV,AtomicMass_u,Error_AtomicMass_u
0  1,1,,0,1,n,8071.31,8060.000,440.0,0.0,B-782.3470,0.0004,1008664.91590,0.00047
0  0,1,,1,2 H,,13135.72,28950.000,0151112.2831,0.0002,B-*,,2014101.777844,0.000015
0  1,2,,1,3 H,,14949.81,0900.000,082827.2654,0.0003,B-18.59202,0.00006,3016049.28132,0.00008
